PIH,"1347 Property Insurance Holdings, Inc.",Finance,$47.27M
TURN,180 Degree Capital Corp.,Finance,$49.79M
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,$617.42M
FCCY,1st Constitution Bancorp (NJ),Finance,$138.47M
SRCE,1st Source Corporation,Finance,$1.25B
VNET,"21Vianet Group, Inc.",Technology,$520.26M
TWOU,"2U, Inc.",Technology,$2.14B
JOBS,"51job, Inc.",Technology,$2.76B
CAFD,8point3 Energy Partners LP,Public Utilities,$1.17B
EGHT,8x8 Inc,Public Utilities,$1.3B
