Top of The Market Rating,Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
75.97,3,1,7,RMBS,"Rambus, Inc.",19.86,Buy
75.96,2,1,8,ACHC,"Acadia Healthcare Company, Inc.",1.46,Buy
75.96,3,1,5,PRAH,"PRA Health Sciences, Inc.",6.49,Buy
75.96,3,2,1,ESE,ESCO Technologies Inc.,4.8,Buy
75.95,1,2,8,BAK,Braskem S.A.,1.44,Buy
75.95,3,1,10,QUOT,Quotient Technology Inc.,39.74,Buy
75.94,1,2,2,STBZ,State Bank Financial Corporation.,11.36,Hold
75.91,3,1,5,ARMK,Aramark,6.2,Buy
75.91,2,2,5,LAZ,Lazard Ltd.,6.23,Buy
75.89,3,2,1,HUM,Humana Inc.,4.46,Buy
75.88,3,2,1,SWK,"Stanley Black & Decker, Inc.",4.38,Buy
75.87,3,2,2,FRME,First Merchants Corporation,11.0,Buy
75.87,3,1,17,TTD,"The Trade Desk, Inc.",3.49,Buy
75.86,3,2,17,AMGP,Antero Midstream GP LP,28.45,Buy
75.84,2,2,5,NCLH,Norwegian Cruise Line Holdings Ltd.,5.87,Buy
75.84,3,2,2,BHLB,"Berkshire Hills Bancorp, Inc.",10.88,Buy
75.84,3,1,5,BWXT,"BWX Technologies, Inc.",5.85,Buy
75.84,2,2,5,MSA,MSA Safety Incorporporated,5.87,Buy
75.83,2,2,5,ALLE,Allegion plc,5.84,Buy
75.82,2,2,5,KMX,CarMax Inc,5.78,Buy
75.8,1,2,8,ENIA,Enel Americas S.A.,0.68,Buy
75.79,2,2,6,TPRE,Third Point Reinsurance Ltd.,12.28,Buy
75.78,3,2,5,EXP,Eagle Materials Inc,30.58,Buy
75.77,3,2,7,MATX,"Matson, Inc.",43.84,Buy
75.76,2,2,5,SCHL,Scholastic Corporation,5.49,Buy
75.76,3,1,10,HAL,Halliburton Company,38.79,Buy
75.7,3,1,7,COMM,"CommScope Holding Company, Inc.",18.48,Buy
75.7,2,2,5,INFY,Infosys Limited,5.16,Buy
75.67,3,2,6,SAVE,"Spirit Airlines, Inc.",36.68,Buy
75.65,3,2,5,DLTR,"Dollar Tree, Inc.",29.91,Buy
75.64,3,2,2,MDT,Medtronic plc,9.88,Buy
75.62,3,2,1,EFX,"Equifax, Inc.",3.1,Buy
75.58,2,2,17,CBD,Companhia Brasileira de Distribuicao,2.31,Buy
75.57,3,2,4,BGG,Briggs & Stratton Corporation,22.83,Buy
75.54,2,2,8,CHA,China Telecom Corp Ltd,24.38,Buy
75.52,3,2,2,SYKE,"Sykes Enterprises, Incorporated",9.27,Buy
75.52,1,2,1,ANTM,"Anthem, Inc.",2.62,Hold
75.52,3,2,5,FNB,F.N.B. Corporation,29.25,Buy
75.51,3,2,2,COL,"Rockwell Collins, Inc.",9.23,Buy
75.49,3,1,7,NPO,EnPro Industries,17.44,Buy
75.43,3,2,5,SNA,Snap-On Incorporated,28.8,Buy
75.42,3,2,5,NCR,NCR Corporation,28.76,Buy
75.41,3,2,17,COUP,Coupa Software Incorporated,26.62,Buy
75.38,3,2,4,ADI,"Analog Devices, Inc.",21.9,Buy
75.37,2,2,5,ABMD,"ABIOMED, Inc.",3.53,Buy
75.37,3,2,2,ENTG,"Entegris, Inc.",8.53,Buy
75.36,3,2,3,TMUS,"T-Mobile US, Inc.",15.14,Buy
75.34,1,2,6,UHAL,Amerco,9.68,Outperform
75.33,3,2,2,JBT,John Bean Technologies Corporation,8.31,Buy
75.33,4,1,7,PE,"Parsley Energy, Inc.",41.64,Buy
75.32,2,2,5,TECH,Bio-Techne Corp,3.28,Buy
75.28,3,1,5,TREE,"LendingTree, Inc.",3.06,Buy
75.27,3,1,8,IPHI,Inphi Corporation,23.02,Buy
75.26,4,1,2,HRS,Harris Corporation,7.95,Buy
75.25,3,2,3,MKSI,"MKS Instruments, Inc.",14.57,Buy
75.22,3,2,4,IOSP,Innospec Inc.,21.12,Buy
75.22,2,2,5,SHOO,"Steven Madden, Ltd.",2.76,Buy
75.22,2,2,7,KS,KapStone Paper and Packaging Corporation,16.12,Buy
75.21,3,2,4,HOMB,"Home BancShares, Inc.",21.07,Buy
75.19,3,2,2,ESNT,Essent Group Ltd.,7.64,Buy
75.17,1,2,17,GOL,Gol Linhas Aereas Inteligentes S.A.,25.69,Hold
75.14,3,1,9,NXTM,"NxStage Medical, Inc.",29.01,Buy
75.13,2,2,3,ABM,ABM Industries Incorporated,13.87,Outperform
75.12,3,1,8,ACXM,Acxiom Corporation,22.27,Buy
75.11,3,1,5,INXN,InterXion Holding N.V.,2.21,Buy
75.08,3,1,7,CRM,Salesforce.com Inc,15.42,Buy
75.07,2,2,5,ALB,Albemarle Corporation,2.02,Buy
75.07,2,2,6,MAS,Masco Corporation,8.7,Buy
75.03,3,1,7,WPM,Wheaton Precious Metals Corp.,40.14,
75.02,2,2,5,CCK,"Crown Holdings, Inc.",1.77,Buy
75.01,2,2,8,SRCL,"Stericycle, Inc.",21.71,Buy
75.01,3,1,8,AAV,Advantage Oil & Gas Ltd,21.72,Buy
75.0,1,6,1,IRCP,IRSA Propiedades Comerciales S.A.,257.04,
75.0,4,2,17,RDUS,"Radius Health, Inc.",50.32,Buy
75.0,4,2,17,SGYP,"Synergy Pharmaceuticals, Inc.",157.01,Buy
75.0,3,1,17,AQN,Algonquin Power & Utilities Corp.,0,
74.98,2,2,5,AET,Aetna Inc.,1.55,Buy
74.97,2,2,5,SAIA,"Saia, Inc.",1.53,Buy
74.97,4,1,17,PVG,"Pretium Resources, Inc.",49.9,
74.96,3,1,9,ERF,Enerplus Corporation,28.13,Buy
74.95,3,2,17,FTI,TechnipFMC plc,24.82,Buy
74.93,3,2,3,CSCO,"Cisco Systems, Inc.",12.99,Buy
74.91,3,1,17,PBYI,Puma Biotechnology Inc,-0.37,Buy
74.91,1,1,12,ENIC,Enel Chile S.A.,-2.1,Buy
74.88,1,2,8,EXEL,"Exelixis, Inc.",-3.95,Buy
74.84,2,2,5,FCFS,"First Cash, Inc.",0.86,Buy
74.84,2,2,5,FCFS,"First Cash, Inc.",0.86,Buy
74.83,3,2,17,RARE,Ultragenyx Pharmaceutical Inc.,24.32,Buy
74.83,3,2,2,ALL,Allstate Corporation (The),5.83,Buy
74.81,3,1,6,DAR,Darling Ingredients Inc.,7.4,Buy
74.8,1,3,4,RMD,ResMed Inc.,-6.02,Buy
74.79,3,2,4,ON,ON Semiconductor Corporation,18.97,Buy
74.76,2,2,5,LVS,Las Vegas Sands Corp.,0.46,Buy
74.75,3,1,17,AYX,"Alteryx, Inc.",-1.01,Buy
74.74,3,2,3,SCHW,The Charles Schwab Corporation,12.01,Buy
74.73,1,3,5,MGLN,"Magellan Health, Inc.",0.31,Buy
74.71,3,1,6,RP,"RealPage, Inc.",6.87,Buy
74.71,3,2,8,XEC,Cimarex Energy Co,45.22,Buy
74.69,3,1,8,ARRS,ARRIS International plc,20.14,Buy
74.62,2,2,17,WBK,Westpac Banking Corporation,-1.5,Buy
74.61,3,2,4,CSX,CSX Corporation,18.06,Buy
74.59,3,2,2,EGBN,"Eagle Bancorp, Inc.",4.6,Buy
74.59,3,2,2,MSFT,Microsoft Corporation,4.62,Buy
74.59,2,2,5,IT,"Gartner, Inc.",-0.36,Buy
74.58,2,2,7,HLT,Hilton Worldwide Holdings Inc.,12.89,Buy
74.57,3,1,17,LOXO,"Loxo Oncology, Inc.",-1.71,Buy
74.51,2,2,5,CBG,"CBRE Group, Inc.",-0.76,Buy
74.5,3,2,2,ATVI,"Activision Blizzard, Inc",4.17,Buy
74.49,3,2,5,CAG,"ConAgra Brands, Inc.",24.11,Buy
74.47,3,1,9,SUPV,Grupo Supervielle S.A.,25.69,Buy
74.46,3,1,11,YPF,YPF Sociedad Anonima,38.96,Buy
74.45,3,2,2,ACN,Accenture plc,3.9,Buy
74.44,3,2,17,ATUS,"Altice USA, Inc.",22.74,Buy
74.44,2,2,8,MTU,Mitsubishi UFJ Financial Group Inc,18.85,Buy
74.44,3,1,17,TRTN,Triton International Limited,-2.23,Buy
74.43,2,2,8,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",18.8,Buy
74.42,2,1,11,OMAM,OM Asset Management plc,13.79,Buy
74.39,3,1,5,CSGP,"CoStar Group, Inc.",-1.37,Buy
74.39,4,1,5,RDN,Radian Group Inc.,23.63,Buy
74.39,3,1,7,XPO,"XPO Logistics, Inc.",11.93,Buy
74.36,3,1,5,POWI,"Power Integrations, Inc.",-1.53,Buy
74.35,2,2,5,ABT,Abbott Laboratories,-1.57,Buy
74.35,2,2,7,RLGY,Realogy Holdings Corp.,11.74,Buy
74.34,3,2,3,SNPS,"Synopsys, Inc.",10.03,Buy
74.32,3,1,8,ARES,Ares Management L.P.,18.28,Buy
74.28,1,2,2,CATY,Cathay General Bancorp,3.05,Hold
74.28,3,2,2,PCG,Pacific Gas & Electric Co.,3.09,Buy
74.27,2,2,6,GWRE,"Guidewire Software, Inc.",4.67,Buy
74.25,3,2,5,CRI,"Carter&#39;s, Inc.",22.94,Buy
74.24,3,2,4,FIX,"Comfort Systems USA, Inc.",16.18,Buy
74.2,1,2,8,ELP,Companhia Paranaense de Energia (COPEL),42.66,Hold
74.2,3,2,2,RTN,Raytheon Company,2.68,Buy
74.19,3,2,5,SXI,Standex International Corporation,22.6,Buy
74.17,3,2,3,AFG,"American Financial Group, Inc.",9.19,Buy
74.17,3,2,3,PFS,"Provident Financial Services, Inc",9.2,Buy
74.15,3,2,4,MATW,Matthews International Corporation,15.74,Buy
74.15,3,2,2,TEO,Telecom Argentina Stet - France Telecom S.A.,2.44,Buy
74.14,3,1,10,GKOS,Glaukos Corporation,30.72,Buy
74.12,4,1,5,KAR,"KAR Auction Services, Inc",22.27,Buy
74.11,1,2,6,VRTX,Vertex Pharmaceuticals Incorporated,-21.14,Buy
74.11,3,2,5,HI,Hillenbrand Inc,22.22,Buy
74.1,3,2,6,TGP,Teekay LNG Partners L.P.,28.85,Buy
74.08,3,2,4,FCB,"FCB Financial Holdings, Inc.",15.42,Buy
74.06,3,2,2,EA,Electronic Arts Inc.,1.98,Buy
74.06,2,2,6,TDG,Transdigm Group Incorporated,3.65,Buy
74.03,4,1,9,MNK,Mallinckrodt plc,48.49,Buy
74.02,2,2,5,ARW,"Arrow Electronics, Inc.",-3.22,Buy
74.02,3,2,2,GMED,"Globus Medical, Inc.",1.79,Buy
73.98,3,2,6,FBP,First BanCorp.,28.21,Buy
73.98,2,2,7,GWR,"Genesee & Wyoming, Inc.",9.89,Buy
