Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
97.26,NTRI,NutriSystem Inc,1.40,1,1,1.0,2,40.25,1
95.0,UNIT,Uniti Group Inc.,1.90,2,1,1.0,17,87.38,1
94.47,NXST,"Nexstar Media Group, Inc.",1.40,1,1,1.0,5,43.46,1
92.17,DBVT,DBV Technologies S.A.,1.60,2,1,1.0,17,35.85,1
91.91,LRCX,Lam Research Corporation,2.00,1,1,1.4000000000000004,1,11.45,1
91.89,STMP,Stamps.com Inc.,1.70,1,1,1.0,3,14.7,1
91.61,LHCG,LHC Group,1.70,1,1,1.0,2,6.35,1
90.67,QUAD,"Quad Graphics, Inc",1.50,1,1,6,8,61.86,1
90.59,AMAT,"Applied Materials, Inc.",1.80,1,1,1.7000000000000002,2,17.71,1
90.54,TLK,"PT Telekomunikasi Indonesia, Tbk",3.00,1,1,6,2,9.35,1
90.44,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,5,28.85,1
90.28,SMCI,"Super Micro Computer, Inc.",2.60,1,2,1.0,6,53.3,1
90.15,TTD,"The Trade Desk, Inc.",1.90,1,1,1.0,17,0.77,1
90.13,GFF,Griffon Corporation,2.00,1,1,6,6,33.97,1
90.0,AMRN,Amarin Corporation plc,1.60,3,1,1.0,17,116.05,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.80,3,1,1.0,17,100.74,1
89.98,SWM,"Schweitzer-Mauduit International, Inc.",1.00,1,1,6,6,33.23,1
89.96,USNA,"USANA Health Sciences, Inc.",1.00,1,1,6,5,26.46,1
89.79,HTHT,"China Lodging Group, Limited",1.90,1,1,1.0,3,2.05,1
89.71,AGO,Assured Guaranty Ltd.,1.50,1,1,6,4,18.56,1
89.5,NCSM,"NCS Multistage Holdings, Inc.",1.80,2,1,1.0,17,22.52,1
89.14,TGS,Transportadora De Gas Sa Ord B,2.00,1,1,6,4,15.72,1
88.83,GOOG,Alphabet Inc.,1.80,1,1,1.5,4,15.5,1
88.74,MTZ,"MasTec, Inc.",1.60,1,1,6,5,20.35,1
88.7,LBRDA,Liberty Broadband Corporation,2.20,1,1,1.0,7,22.22,1
88.66,CVCO,"Cavco Industries, Inc.",1.50,1,1,6,4,13.28,1
88.27,TSEM,Tower Semiconductor Ltd.,2.00,1,1,6,5,18.0,1
