Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
97.33,2.00,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,51.6,1
97.02,1.40,1,1,1.0,1,NTRI,NutriSystem Inc,32.13,1
94.18,1.60,1,1,1.0,17,NBIX,"Neurocrine Biosciences, Inc.",20.88,1
93.5,2.00,1,1,1.5,1,LRCX,Lam Research Corporation,23.5,1
93.13,2.00,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",35.67,1
92.24,6,1,1,1.7000000000000002,17,QVCB,Liberty Interactive Corporation,28.68,1
92.0,1.50,1,1,6,7,QUAD,"Quad Graphics, Inc",68.51,1
91.73,1.80,1,1,1.5,5,MU,"Micron Technology, Inc.",39.52,1
91.55,2.00,1,1,6,6,GFF,Griffon Corporation,41.06,1
91.49,2.00,1,1,1.0,4,TSEM,Tower Semiconductor Ltd.,18.96,1
91.36,3.00,1,1,6,1,TLK,"PT Telekomunikasi Indonesia, Tbk",6.79,1
90.74,1.90,2,1,1.0,17,AERI,"Aerie Pharmaceuticals, Inc.",28.72,1
90.61,1.40,1,1,1.0,3,ALGN,"Align Technology, Inc.",7.0,1
90.0,1.80,3,1,1.0,17,XOG,"Extraction Oil & Gas, Inc.",53.19,1
90.0,1.70,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",94.55,1
90.0,1.70,3,1,1.0,17,INSM,"Insmed, Inc.",84.74,1
89.67,2.00,1,1,6,2,CVCO,"Cavco Industries, Inc.",5.0,1
89.6,1.50,1,1,6,3,AGO,Assured Guaranty Ltd.,11.34,1
89.53,1.50,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",12.2,1
89.48,1.70,1,2,1.0,3,MKSI,"MKS Instruments, Inc.",25.23,1
89.33,1.70,3,1,1.0,17,UNIT,Uniti Group Inc.,46.65,1
89.15,1.00,1,1,6,5,USNA,"USANA Health Sciences, Inc.",22.4,1
88.97,1.70,1,1,6,4,BRKS,"Brooks Automation, Inc.",14.83,1
88.78,1.80,1,1,1.2000000000000002,6,ALXN,"Alexion Pharmaceuticals, Inc.",21.03,1
88.52,1.70,2,1,1.0,4,APOG,"Apogee Enterprises, Inc.",26.14,1
88.31,1.00,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",24.9,1
87.86,1.80,2,1,6,6,NGHC,National General Holdings Corp,47.61,1
87.84,2.30,1,2,1.0,2,ETFC,E*TRADE Financial Corporation,8.7,1
87.77,1.80,1,1,1.7999999999999998,4,GOOG,Alphabet Inc.,16.61,1
87.71,1.70,2,1,1.0,2,ORBK,Orbotech Ltd.,7.9,1
87.71,1.00,1,1,6,6,KB,KB Financial Group Inc,21.9,1
87.64,1.00,1,1,6,4,SNE,Sony Corp Ord,8.21,1
87.28,1.50,2,1,1.0,2,LOPE,"Grand Canyon Education, Inc.",5.32,1
87.22,1.60,3,1,1.0,5,SBGI,"Sinclair Broadcast Group, Inc.",55.7,1
87.19,1.90,2,1,1.5,2,SSNC,"SS&C Technologies Holdings, Inc.",17.33,1
87.09,1.50,2,1,1.0,6,FNGN,"Financial Engines, Inc.",30.87,1
86.9,1.80,2,1,6,2,WAL,Western Alliance Bancorporation,16.16,1
86.89,2.20,1,2,6,1,OC,Owens Corning Inc,9.46,1
86.84,1.80,1,1,6,5,TRP,TransCanada Corporation,10.87,1
86.79,1.80,2,1,1.0,3,LHCG,LHC Group,9.05,1
86.77,1.90,3,1,1.0,17,PSDO,"Presidio, Inc.",33.83,1
86.63,2.20,1,1,1.0,5,LBRDA,Liberty Broadband Corporation,-3.57,1
86.31,1.90,1,1,6,5,BAM,Brookfield Asset Management Inc,8.24,1
86.17,2.30,3,1,1.0,3,SIMO,Silicon Motion Technology Corporation,30.35,1
86.14,2.00,1,2,6,2,FMS,Fresenius Medical Care Corporation,12.35,1
85.94,2.50,2,1,6,4,STL,Sterling Bancorp,24.72,1
85.93,2.30,1,2,1.0,5,KRNY,Kearny Financial,17.24,1
85.83,1.80,2,1,1.0,10,OPK,"Opko Health, Inc.",88.09,1
85.49,1.70,3,1,1.7000000000000002,17,TWNK,"Hostess Brands, Inc.",44.93,1
85.39,2.00,1,2,6,3,DLX,Deluxe Corporation,15.26,1
85.33,2.00,1,1,6,12,VDTH,Videocon d2h Limited,65.34,1
85.14,2.00,1,1,6,5,NOVT,Novanta Inc.,2.36,1
85.05,1.70,3,1,6,2,COHR,"Coherent, Inc.",31.93,1
85.05,2.10,1,2,2.0,2,ENTG,"Entegris, Inc.",16.94,1
85.0,1.60,4,1,1.0,17,AIMT,"Aimmune Therapeutics, Inc.",95.57,1
84.99,2.00,1,2,6,6,DAL,"Delta Air Lines, Inc.",33.28,1
84.98,1.90,1,2,2.0,1,MCHP,Microchip Technology Incorporated,9.89,1
84.96,1.80,1,2,6,7,CORE,"Core-Mark Holding Company, Inc.",39.79,1
84.92,1.90,2,1,1.5999999999999996,5,JAZZ,Jazz Pharmaceuticals plc,26.19,1
