Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
94.39,1.6,1,1,1.0,17,NBIX,"Neurocrine Biosciences, Inc.",31.34,Buy
93.61,2.0,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,53.92,Buy
92.97,1.0,1,1,6,5,USNA,"USANA Health Sciences, Inc.",34.5,Buy
91.03,1.7,1,1,1.0,4,APOG,"Apogee Enterprises, Inc.",24.71,Buy
90.24,1.0,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",24.8,Buy
89.98,1.5,1,1,6,6,QUAD,"Quad Graphics, Inc",35.71,Buy
89.87,1.5,2,1,1.0,17,TWNK,"Hostess Brands, Inc.",26.74,Buy
89.48,1.7,1,1,6,5,MXL,"MaxLinear, Inc",31.04,Buy
89.26,2.0,1,1,6,5,GFF,Griffon Corporation,37.25,Buy
89.0,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,9.84,Buy
88.86,1.5,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",9.52,Buy
88.66,1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",29.76,Buy
88.58,2.0,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",26.51,Buy
88.34,1.9,1,1,1.5,1,LRCX,Lam Research Corporation,3.37,Buy
88.33,1.8,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",91.07,Buy
88.21,2.0,1,1,6,2,CVCO,"Cavco Industries, Inc.",10.9,Buy
87.62,1.0,1,1,6,6,KB,KB Financial Group Inc,9.08,Buy
87.43,1.5,1,2,6,1,THO,"Thor Industries, Inc.",12.09,Buy
87.04,1.0,4,1,1.0,17,CDEV,"Centennial Resource Development, Inc.",47.23,Buy
86.96,2.0,1,1,6,6,DAL,"Delta Air Lines, Inc.",30.07,Buy
86.93,2.0,1,1,6,2,NOVT,Novanta Inc.,3.23,Buy
86.8,1.5,2,1,6,1,TMO,Thermo Fisher Scientific Inc,8.29,Buy
86.75,1.0,1,2,2.0,4,CENTA,Central Garden & Pet Company,27.25,Buy
86.71,1.7,1,1,1.2999999999999998,5,AVGO,Broadcom Limited,8.63,Buy
