Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
92.9,DBVT,DBV Technologies S.A.,1.60,2,1,1.0,17,39.48,1
92.76,STMP,Stamps.com Inc.,1.70,1,1,1.0,3,19.91,1
92.05,IIVI,II-VI Incorporated,2.20,1,1,1.0,2,8.96,1
91.99,NTRI,NutriSystem Inc,1.40,2,1,1.0,2,33.58,1
91.63,AGO,Assured Guaranty Ltd.,1.50,1,1,6,4,28.17,1
91.44,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,5,33.87,1
90.63,QVCB,Liberty Interactive Corporation,6,1,1,1.5,17,15.65,1
90.58,TTD,"The Trade Desk, Inc.",1.90,1,1,1.0,17,2.88,1
90.5,AMAT,"Applied Materials, Inc.",1.80,1,1,1.4000000000000004,2,9.64,1
90.25,LHCG,LHC Group,1.70,1,1,1.0,2,-1.82,1
90.03,HTHT,"China Lodging Group, Limited",1.90,1,1,1.0,3,3.54,1
90.0,AMRN,Amarin Corporation plc,1.60,3,1,1.0,17,100.0,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.80,3,1,1.0,17,84.75,1
90.0,UNIT,Uniti Group Inc.,2.10,2,2,1.0,17,104.64,1
89.55,LBRDA,Liberty Broadband Corporation,2.20,1,1,1.0,7,27.3,1
89.33,NCSM,"NCS Multistage Holdings, Inc.",1.80,2,1,1.0,17,21.64,1
89.2,ROG,Rogers Corporation,1.80,1,1,6,2,2.65,1
89.17,NXST,"Nexstar Media Group, Inc.",1.40,2,1,1.0,5,36.66,1
89.15,USNA,"USANA Health Sciences, Inc.",1.00,1,1,6,5,22.4,1
89.04,EEFT,"Euronet Worldwide, Inc.",1.70,2,1,1.0,2,15.9,1
88.67,QUAD,"Quad Graphics, Inc",1.50,1,1,6,8,40.04,1
88.56,GFF,Griffon Corporation,2.00,1,1,6,6,26.13,1
88.49,GOOG,Alphabet Inc.,1.80,1,1,1.5,4,13.43,1
88.29,JAZZ,Jazz Pharmaceuticals plc,1.90,1,1,1.7000000000000002,5,23.88,1
88.22,MTZ,"MasTec, Inc.",1.60,1,1,6,5,17.77,1
88.02,TLK,"PT Telekomunikasi Indonesia, Tbk",3.00,1,1,6,4,10.12,1
87.97,TRP,TransCanada Corporation,1.80,1,1,6,5,16.53,1
87.85,AERI,"Aerie Pharmaceuticals, Inc.",1.90,3,1,1.0,17,39.23,1
87.82,XOG,"Extraction Oil & Gas, Inc.",1.80,2,1,1.0,17,14.08,1
87.57,BYSI,"BeyondSpring, Inc.",2.00,3,1,1.0,17,37.84,1
87.42,TSEM,Tower Semiconductor Ltd.,2.00,1,1,6,5,13.75,1
87.22,SBGI,"Sinclair Broadcast Group, Inc.",1.60,3,1,1.0,5,62.64,1
87.15,CVCO,"Cavco Industries, Inc.",1.50,1,1,6,4,5.76,1
86.83,UNH,UnitedHealth Group Incorporated,1.60,2,1,6,1,9.13,1
86.75,NTNX,"Nutanix, Inc.",2.10,2,2,1.0,17,33.75,1
86.68,CELG,Celgene Corporation,1.70,2,1,1.2999999999999998,2,9.27,1
86.51,SNE,Sony Corp Ord,1.00,1,2,6,4,27.54,1
86.45,SSNC,"SS&C Technologies Holdings, Inc.",1.80,2,1,1.4000000000000004,2,10.39,1
86.45,TMO,Thermo Fisher Scientific Inc,1.50,2,1,6,1,7.27,1
86.37,ORBK,Orbotech Ltd.,1.60,2,1,1.0,2,-0.1,1
85.93,BRKL,"Brookline Bancorp, Inc.",2.20,1,2,1.0,3,3.9,1
85.89,VNOM,Viper Energy Partners LP,1.60,1,1,6,6,12.78,1
85.84,SMCI,"Super Micro Computer, Inc.",2.60,2,2,1.0,6,48.4,1
85.78,COHR,"Coherent, Inc.",1.70,3,1,1.0,2,21.34,1
85.73,BAM,Brookfield Asset Management Inc,1.90,1,1,6,5,5.32,1
85.65,FB,"Facebook, Inc.",1.80,2,1,1.7999999999999998,2,15.57,1
85.63,ESPR,"Esperion Therapeutics, Inc.",2.00,3,1,1.0,17,28.13,1
85.63,LOPE,"Grand Canyon Education, Inc.",1.50,2,1,1.0,2,-4.55,1
85.62,MU,"Micron Technology, Inc.",1.80,1,1,1.5999999999999996,5,5.37,1
85.43,FOX,"Twenty-First Century Fox, Inc.",2.00,1,2,1.7000000000000002,6,38.41,1
85.38,TFX,Teleflex Incorporated,1.60,2,1,6,1,1.88,1
85.09,LGND,Ligand Pharmaceuticals Incorporated,2.00,1,1,1.7000000000000002,5,4.68,1
85.0,AIMT,"Aimmune Therapeutics, Inc.",1.60,4,1,1.0,17,54.53,1
85.0,MOMO,Momo Inc.,1.70,3,1,1.0,7,54.13,1
85.0,RDUS,"Radius Health, Inc.",2.00,3,2,1.0,17,59.74,1
84.94,NSP,"Insperity, Inc.",2.00,1,2,6,3,13.02,1
84.85,KRNY,Kearny Financial,2.30,1,2,1.0,5,10.75,1
84.84,INSM,"Insmed, Inc.",1.80,3,1,1.0,17,24.18,1
84.74,AMT,American Tower Corporation (REIT),1.70,2,1,6,3,12.05,1
84.66,IPGP,IPG Photonics Corporation,1.90,1,2,1.4000000000000004,2,-0.37,1
84.47,NPO,EnPro Industries,1.80,1,1,6,6,5.67,1
84.43,MCHP,Microchip Technology Incorporated,1.90,1,2,2.0,1,6.57,1
84.4,UFPI,"Universal Forest Products, Inc.",1.00,3,1,1.0,4,26.42,1
84.35,EGRX,"Eagle Pharmaceuticals, Inc.",2.30,1,2,1.0,8,27.75,1
84.33,KW,Kennedy-Wilson Holdings Inc.,2.00,1,2,6,9,69.35,1
84.33,TRQ,Turquoise Hill Resources Ltd.,3.00,1,2,6,9,51.41,1
84.17,DLX,Deluxe Corporation,2.00,1,2,6,3,9.2,1
84.15,AER,Aercap Holdings N.V.,1.80,2,1,6,5,22.41,1
