Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
96.93,1.4,1,1,1.0,1,NTRI,NutriSystem Inc,38.52,Buy
92.16,1.0,1,1,6,5,USNA,"USANA Health Sciences, Inc.",29.6,Buy
91.43,2.0,1,1,1.0,4,TSEM,Tower Semiconductor Ltd.,35.03,Buy
91.25,1.5,1,1,6,7,QUAD,"Quad Graphics, Inc",65.55,Buy
91.01,1.0,1,1,6,4,SNE,Sony Corp Ord,16.05,Buy
90.62,1.4,1,1,1.0,3,ALGN,"Align Technology, Inc.",7.66,Buy
90.33,2.0,1,1,1.5,1,LRCX,Lam Research Corporation,19.84,Buy
90.29,2.0,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,30.08,Buy
90.08,1.0,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",23.81,Buy
90.03,1.0,1,1,6,6,KB,KB Financial Group Inc,23.54,Buy
89.66,1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",36.8,Buy
89.52,2.0,1,1,6,6,GFF,Griffon Corporation,45.45,Buy
89.25,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,11.31,Buy
88.75,1.7,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",80.89,Buy
88.75,1.7,3,1,1.0,17,INSM,"Insmed, Inc.",83.27,Buy
88.75,1.7,3,1,1.0,17,UNIT,Uniti Group Inc.,58.73,Buy
88.72,1.5,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",8.56,Buy
88.54,2.0,1,1,6,2,CVCO,"Cavco Industries, Inc.",12.93,Buy
88.33,2.0,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",24.95,Buy
88.08,1.8,3,1,1.0,17,XOG,"Extraction Oil & Gas, Inc.",48.51,Buy
88.05,1.7,1,2,1.0,3,MKSI,"MKS Instruments, Inc.",22.17,Buy
88.04,2.0,1,1,6,8,AGRO,Adecoagro S.A.,49.9,Buy
87.94,1.8,1,1,1.2000000000000002,6,ALXN,"Alexion Pharmaceuticals, Inc.",23.92,Buy
87.89,1.7,1,1,6,4,BRKS,"Brooks Automation, Inc.",14.85,Buy
87.67,1.7,2,1,1.0,2,ORBK,Orbotech Ltd.,12.84,Buy
87.61,1.7,2,1,1.0,4,APOG,"Apogee Enterprises, Inc.",25.79,Buy
87.25,2.0,1,1,6,6,DAL,"Delta Air Lines, Inc.",31.82,Buy
87.18,1.5,2,1,1.0,2,LOPE,"Grand Canyon Education, Inc.",4.42,Buy
