Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
96.26,1.4,1,1,1.0,1,NTRI,NutriSystem Inc,33.82,Buy
92.95,1.6,1,1,1.0,17,NBIX,"Neurocrine Biosciences, Inc.",22.68,Buy
92.5,2.0,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,43.32,Buy
91.25,1.5,1,1,6,7,QUAD,"Quad Graphics, Inc",69.04,Buy
91.07,1.7,1,1,1.0,4,APOG,"Apogee Enterprises, Inc.",24.98,Buy
91.06,1.0,1,1,6,5,USNA,"USANA Health Sciences, Inc.",23.04,Buy
90.81,2.0,1,1,1.5,1,LRCX,Lam Research Corporation,23.2,Buy
90.63,1.4,1,1,1.0,3,ALGN,"Align Technology, Inc.",7.75,Buy
90.48,1.6,2,1,1.0,5,SBGI,"Sinclair Broadcast Group, Inc.",53.97,Buy
90.22,1.0,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",24.68,Buy
90.11,1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",39.91,Buy
89.77,2.0,1,1,6,6,GFF,Griffon Corporation,46.98,Buy
89.73,2.0,1,1,1.0,4,TSEM,Tower Semiconductor Ltd.,23.11,Buy
89.64,1.0,1,1,6,4,SNE,Sony Corp Ord,7.86,Buy
89.62,2.0,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",32.71,Buy
89.54,1.8,1,1,6,5,NGHC,National General Holdings Corp,33.89,Buy
89.24,1.0,1,1,6,6,KB,KB Financial Group Inc,18.75,Buy
89.15,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,10.76,Buy
88.78,1.5,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",8.93,Buy
88.75,1.7,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",85.44,Buy
88.75,1.7,3,1,1.0,17,INSM,"Insmed, Inc.",70.88,Buy
87.38,1.8,1,1,1.2000000000000002,6,ALXN,"Alexion Pharmaceuticals, Inc.",20.0,Buy
87.23,2.0,1,1,6,2,CVCO,"Cavco Industries, Inc.",5.03,Buy
87.2,1.6,3,1,1.0,2,COHR,"Coherent, Inc.",32.07,Buy
87.12,1.5,2,1,1.0,2,LOPE,"Grand Canyon Education, Inc.",3.99,Buy
87.01,1.7,3,1,1.0,17,UNIT,Uniti Group Inc.,39.56,Buy
86.99,1.9,2,1,1.0,17,AERI,"Aerie Pharmaceuticals, Inc.",19.43,Buy
86.95,2.0,1,1,6,6,DAL,"Delta Air Lines, Inc.",30.05,Buy
86.64,1.0,4,1,1.0,17,CDEV,"Centennial Resource Development, Inc.",44.84,Buy
86.52,1.8,1,1,1.7999999999999998,4,GOOG,Alphabet Inc.,15.67,Buy
86.21,1.8,3,1,1.0,3,OCLR,"Oclaro, Inc.",36.83,Buy
86.09,1.6,2,6,1.0,4,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",26.55,Buy
85.87,1.8,2,1,1.0,3,LHCG,LHC Group,9.39,Buy
85.58,1.0,1,2,2.0,4,CENTA,Central Garden & Pet Company,19.05,Buy
85.56,1.8,2,1,6,2,WAL,Western Alliance Bancorporation,15.03,Buy
85.55,1.4,3,1,1.0,5,NXST,"Nexstar Media Group, Inc.",35.53,Buy
85.5,1.5,2,1,1.0,6,FNGN,"Financial Engines, Inc.",19.33,Buy
85.43,1.9,2,1,1.5,2,SSNC,"SS&C Technologies Holdings, Inc.",14.67,Buy
85.39,1.8,1,1,6,5,TRP,TransCanada Corporation,8.99,Buy
85.21,1.5,3,1,6,3,EBIX,"Ebix, Inc.",37.07,Buy
85.19,1.7,2,1,1.5999999999999996,2,FB,"Facebook, Inc.",10.48,Buy
85.17,1.9,3,1,1.0,17,PSDO,"Presidio, Inc.",33.53,Buy
85.0,1.6,4,1,1.0,17,AIMT,"Aimmune Therapeutics, Inc.",80.52,Buy
85.0,1.8,2,1,1.0,10,OPK,"Opko Health, Inc.",89.87,Buy
84.98,1.7,2,2,1.0,3,MKSI,"MKS Instruments, Inc.",25.71,Buy
84.93,1.4,2,1,6,4,DOOR,Masonite International Corporation,14.56,Buy
84.89,1.9,1,1,6,5,BAM,Brookfield Asset Management Inc,8.49,Buy
84.86,2.2,1,1,1.0,5,LBRDA,Liberty Broadband Corporation,0.7,Buy
84.61,1.7,2,1,1.0,17,BGNE,"BeiGene, Ltd.",0.18,Buy
84.57,1.9,2,1,1.2000000000000002,8,SABR,Sabre Corporation,41.14,Buy
84.42,1.7,1,1,6,6,BABA,Alibaba Group Holding Limited,7.34,Buy
84.32,1.9,3,1,1.0,2,PPBI,Pacific Premier Bancorp Inc,19.44,Buy
84.29,1.3,3,1,1.0,5,BOFI,"BofI Holding, Inc.",24.22,Buy
84.21,1.6,1,1,2.0,5,MMSI,"Merit Medical Systems, Inc.",6.13,Buy
84.2,2.2,1,2,6,1,OC,Owens Corning Inc,10.21,Buy
84.07,2.0,1,2,6,2,FMS,Fresenius Medical Care Corporation,11.06,Buy
84.05,1.6,3,1,1.0,8,XNCR,"Xencor, Inc.",57.52,Buy
84.03,1.5,1,2,6,4,SNX,Synnex Corporation,11.67,Buy
83.76,1.7,3,1,1.0,2,ORBK,Orbotech Ltd.,10.47,Buy
83.75,1.9,3,2,1.0,17,XOG,"Extraction Oil & Gas, Inc.",51.52,Buy
83.72,1.8,2,1,6,3,EPAM,"EPAM Systems, Inc.",10.67,Buy
