Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
85.0,AIMT,"Aimmune Therapeutics, Inc.",1.60,4,1,1.0,17,96.89,1
84.93,XOG,"Extraction Oil & Gas, Inc.",1.80,4,1,1.0,17,49.63,1
84.92,ATVI,"Activision Blizzard, Inc",1.90,1,2,1.5,3,10.36,1
84.86,JAZZ,Jazz Pharmaceuticals plc,1.90,2,1,1.5999999999999996,5,25.81,1
84.85,MSCC,Microsemi Corporation,1.90,2,1,1.7000000000000002,5,28.28,1
84.84,HQY,"HealthEquity, Inc.",1.80,3,1,1.0,5,35.68,1
84.73,MFC,Manulife Financial Corp,1.50,1,2,6,3,11.98,1
84.72,ACAD,ACADIA Pharmaceuticals Inc.,1.90,2,1,1.0,11,50.52,1
84.72,FNGN,"Financial Engines, Inc.",1.50,3,1,1.0,6,41.65,1
84.7,EBIX,"Ebix, Inc.",1.50,3,1,6,3,36.83,1
84.5,ALSN,"Allison Transmission Holdings, Inc.",2.20,1,2,6,5,24.16,1
84.45,OCLR,"Oclaro, Inc.",1.80,4,1,1.0,3,45.02,1
84.43,EW,Edwards Lifesciences Corporation,2.00,1,2,6,4,17.13,1
84.33,KW,Kennedy-Wilson Holdings Inc.,2.00,1,2,6,9,61.95,1
84.33,TRQ,Turquoise Hill Resources Ltd.,3.00,1,2,6,9,53.77,1
84.25,SHG,Shinhan Financial Group Co Ltd,3.00,1,1,6,8,17.92,1
84.21,CELG,Celgene Corporation,1.80,3,1,1.2999999999999998,2,19.44,1
84.19,RMBS,"Rambus, Inc.",2.00,2,1,1.0,7,20.14,1
83.89,XNCR,"Xencor, Inc.",1.60,3,1,1.0,8,78.3,1
83.87,MLCO,Melco Resorts & Entertainment Limited,2.00,1,2,1.4000000000000004,7,28.21,1
83.84,EXLS,"ExlService Holdings, Inc.",2.20,2,2,1.0,2,9.69,1
83.8,EEFT,"Euronet Worldwide, Inc.",1.70,3,1,1.0,2,9.45,1
83.73,SLAB,"Silicon Laboratories, Inc.",2.20,2,2,1.0,3,15.72,1
83.68,DBVT,DBV Technologies S.A.,1.60,3,1,1.0,17,18.42,1
83.66,BGNE,"BeiGene, Ltd.",1.60,3,1,1.0,17,18.31,1
83.59,BOFI,"BofI Holding, Inc.",1.40,3,1,1.0,5,28.21,1
83.58,CENTA,Central Garden & Pet Company,1.00,1,2,2.0,4,21.48,1
83.55,CMCSA,Comcast Corporation,1.70,3,1,1.2000000000000002,2,12.99,1
83.51,AAN,"Aaron&#39;s,  Inc.",2.10,1,2,6,5,19.21,1
83.41,PAM,Pampa Energia S.A.,2.30,1,1,1.0,11,17.15,1
83.41,SKM,"SK Telecom Co., Ltd.",1.50,1,2,6,5,18.7,1
83.39,BBU,Brookfield Business Partners L.P.,2.00,1,1,6,8,13.6,1
83.38,SEIC,SEI Investments Company,2.00,2,2,1.0,2,6.92,1
83.37,NWL,Newell Brands Inc.,1.90,3,1,6,2,23.51,1
83.36,WB,Weibo Corporation,1.80,1,1,1.7000000000000002,6,1.02,1
83.32,CP,Canadian Pacific Railway Limited,2.00,1,2,6,5,18.28,1
83.2,LGND,Ligand Pharmaceuticals Incorporated,2.00,1,1,2.0,6,7.53,1
83.2,MPWR,"Monolithic Power Systems, Inc.",1.90,3,1,1.0,4,19.23,1
83.13,STMP,Stamps.com Inc.,1.70,3,1,1.0,3,12.09,1
83.13,THO,"Thor Industries, Inc.",1.50,3,1,6,1,15.66,1
83.12,RYAAY,Ryanair Holdings plc,2.00,1,2,1.9000000000000004,2,2.89,1
83.05,QVCA,Liberty Interactive Corporation,1.90,3,1,1.7000000000000002,17,32.76,1
83.03,PKX,POSCO,2.00,1,2,6,5,16.81,1
82.92,LAUR,"Laureate Education, Inc.",1.90,3,2,1.0,17,39.58,1
82.8,TLND,Talend S.A.,1.80,3,1,1.0,17,14.02,1
82.77,LDOS,"Leidos Holdings, Inc.",1.90,2,1,6,5,15.54,1
82.75,WPPGY,WPP plc,1.70,2,2,2.0,17,38.75,1
82.75,BURL,"Burlington Stores, Inc.",1.90,2,1,6,7,28.75,1
82.59,ANET,"Arista Networks, Inc.",2.20,1,2,6,3,1.27,1
82.59,GVA,Granite Construction Incorporated,1.80,3,1,6,4,32.93,1
82.58,LAD,"Lithia Motors, Inc.",2.00,1,2,6,5,14.57,1
82.56,ILG,"ILG, Inc",1.60,2,1,1.0,5,14.48,4
82.55,SPGI,S&P Global Inc.,2.00,2,1,6,4,7.76,1
