Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
83.36,2.0,1,2,3,DLX,Deluxe Corporation,13.49,Buy
83.35,1.7,1,1,7,CTRP,"Ctrip.com International, Ltd.",7.59,Buy
83.26,1.7,2,1,17,BGNE,"BeiGene, Ltd.",8.8,Buy
83.22,2.2,1,2,1,OC,Owens Corning Inc,4.32,Buy
83.2,1.9,2,1,5,SABR,Sabre Corporation,23.34,Buy
83.16,2.0,1,2,2,FMS,Fresenius Medical Care Corporation,5.63,Buy
83.13,1.3,3,1,5,BOFI,"BofI Holding, Inc.",32.94,Buy
83.11,1.5,2,1,6,FNGN,"Financial Engines, Inc.",19.48,Buy
82.95,2.2,1,2,1,SHW,Sherwin-Williams Company (The),2.68,Buy
82.91,1.6,3,1,2,PPBI,Pacific Premier Bancorp Inc,19.11,Buy
82.88,1.7,3,1,17,INSM,"Insmed, Inc.",31.88,Buy
82.86,1.8,1,1,5,TAL,TAL Education Group,-6.17,Buy
82.69,2.0,1,2,5,CIEN,Ciena Corporation,22.79,Buy
82.5,1.8,2,1,10,OPK,"Opko Health, Inc.",87.21,Buy
82.41,1.5,3,1,2,LOPE,"Grand Canyon Education, Inc.",13.64,Buy
82.41,1.6,2,1,5,MMSI,"Merit Medical Systems, Inc.",11.11,Buy
82.32,1.0,3,1,6,VGR,Vector Group Ltd.,27.24,Buy
82.13,2.6,1,2,3,GGAL,Grupo Financiero Galicia S.A.,21.1,Buy
82.07,1.0,3,1,3,MNR,Monmouth Real Estate Investment Corporation,5.77,Buy
82.0,2.0,1,1,11,PAM,Pampa Energia S.A.,33.65,Buy
81.96,1.6,2,6,4,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",19.8,Buy
81.96,1.6,3,1,5,SBGI,"Sinclair Broadcast Group, Inc.",33.43,Buy
81.9,1.6,3,1,4,DY,"Dycom Industries, Inc.",26.39,Buy
81.88,2.0,1,2,2,RYAAY,Ryanair Holdings plc,-2.03,Buy
81.81,1.4,3,1,5,NXST,"Nexstar Media Group, Inc.",27.55,Buy
81.81,1.5,3,1,8,XPER,Xperi Corporation,62.56,Buy
81.78,1.7,2,2,17,WPPGY,WPP plc,26.39,Buy
81.74,2.3,1,2,2,ETFC,E*TRADE Financial Corporation,4.6,Buy
81.73,1.7,3,1,1,MTN,"Vail Resorts, Inc.",7.87,Buy
81.69,1.9,2,2,2,HD,"Home Depot, Inc. (The)",19.3,Buy
81.63,2.0,1,2,17,VOD,Vodafone Group Plc,8.13,Buy
81.51,1.5,2,1,6,BGCP,"BGC Partners, Inc.",9.91,Buy
81.49,2.0,1,2,7,FOX,"Twenty-First Century Fox, Inc.",28.94,Buy
81.45,1.7,3,1,3,FN,Fabrinet,19.54,Buy
81.44,2.0,1,2,6,MLCO,Melco Resorts & Entertainment Limited,21.95,Buy
