Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
76.26,2.0,2,2,6,PBH,"Prestige Brand Holdings, Inc.",15.9,Buy
76.24,2.0,3,2,17,LFC,China Life Insurance Company Limited,31.2,Buy
76.23,2.0,2,2,17,LW,"Lamb Weston Holdings, Inc.",6.14,Buy
76.23,1.0,3,2,5,TEF,Telefonica SA,9.07,Buy
76.23,1.9,3,1,5,WCN,"Waste Connections, Inc.",6.57,Buy
76.23,2.3,2,2,4,WHR,Whirlpool Corporation,9.89,Buy
76.2,1.7,3,1,5,INXN,InterXion Holding N.V.,1.34,Buy
76.19,2.1,2,2,6,ITT,ITT Inc.,17.99,Buy
76.17,2.5,1,2,4,BCO,Brink&#39;s Company (The),-10.45,Buy
76.16,1.8,3,1,8,IPHI,Inphi Corporation,23.65,Buy
76.15,2.1,2,2,5,CACI,"CACI International, Inc.",11.07,Buy
76.14,1.8,3,2,5,FNB,F.N.B. Corporation,28.49,Buy
76.12,2.0,3,1,4,TYL,"Tyler Technologies, Inc.",1.75,Buy
76.11,1.8,3,1,7,COMM,"CommScope Holding Company, Inc.",16.63,Buy
76.11,2.2,2,1,10,MB,"MINDBODY, Inc.",21.65,Buy
76.09,1.9,2,2,5,NUVA,"NuVasive, Inc.",5.71,Buy
76.08,2.0,3,2,1,ESE,ESCO Technologies Inc.,6.5,Buy
76.07,6,2,1,9,PLNT,"Planet Fitness, Inc.",8.7,Buy
76.07,2.1,2,2,5,TPH,"TRI Pointe Group, Inc.",10.56,Buy
76.06,2.1,2,2,6,AAT,"American Assets Trust, Inc.",17.18,Buy
76.04,1.8,2,2,6,TPRE,Third Point Reinsurance Ltd.,9.59,Buy
76.03,1.8,3,1,10,HAL,Halliburton Company,36.2,Buy
76.01,1.6,3,1,5,CSGP,"CoStar Group, Inc.",-2.25,Buy
75.97,2.2,2,2,4,EMN,Eastman Chemical Company,5.82,Buy
75.96,2.2,3,2,1,TTEK,"Tetra Tech, Inc.",10.76,Buy
75.95,2.0,2,2,17,TWLO,Twilio Inc.,4.76,Buy
75.89,1.8,3,1,7,ELY,Callaway Golf Company,15.32,Buy
75.89,2.6,1,2,10,PBR,Petroleo Brasileiro S.A.- Petrobras,30.36,Buy
75.88,2.0,3,2,17,CHL,China Mobile (Hong Kong) Ltd.,29.41,Buy
75.87,1.9,3,1,5,BWXT,"BWX Technologies, Inc.",4.36,Buy
75.85,1.8,4,1,2,HRS,Harris Corporation,6.74,Buy
75.85,1.9,3,2,5,NCR,NCR Corporation,29.24,Buy
75.84,2.2,3,2,2,CSFL,"CenterState Banks, Inc.",16.7,Buy
75.82,1.9,2,2,5,TECH,Bio-Techne Corp,4.07,Buy
75.82,1.7,2,2,5,CBG,"CBRE Group, Inc.",-0.89,Buy
75.8,2.0,4,1,17,BYSI,"BeyondSpring, Inc.",29.0,Buy
75.8,2.1,3,2,2,CRUS,"Cirrus Logic, Inc.",13.97,Buy
75.8,1.7,3,2,3,MKSI,"MKS Instruments, Inc.",10.64,Buy
75.8,1.9,3,1,6,TEDU,"Tarena International, Inc.",10.66,Buy
75.78,2.0,1,6,10,LILAK,Liberty Global plc,13.9,Buy
75.76,1.9,3,2,2,JBT,John Bean Technologies Corporation,8.72,Buy
75.73,1.8,3,1,8,ARRS,ARRIS International plc,21.04,Buy
75.73,2.0,2,2,5,NCLH,Norwegian Cruise Line Holdings Ltd.,6.02,Buy
75.73,1.9,3,2,1,EFX,"Equifax, Inc.",1.91,Buy
75.72,1.0,3,2,17,RENX,RELX N.V.,3.6,Buy
75.71,1.5,3,1,10,GKOS,Glaukos Corporation,26.76,Buy
75.7,1.9,3,1,8,FANG,"Diamondback Energy, Inc.",23.34,Buy
75.7,2.0,3,2,17,AMGP,Antero Midstream GP LP,28.51,Buy
75.69,2.1,2,2,5,ALLE,Allegion plc,8.29,Buy
75.69,2.0,3,2,4,BGG,Briggs & Stratton Corporation,24.14,Buy
75.67,2.0,1,2,8,BAK,Braskem S.A.,0.69,Buy
75.67,2.2,2,2,3,HEI,Heico Corporation,-2.65,Buy
75.65,2.0,2,2,5,PVH,PVH Corp.,5.57,Buy
75.64,2.0,3,2,6,SAVE,"Spirit Airlines, Inc.",37.15,Buy
75.64,2.0,3,2,5,EXP,Eagle Materials Inc,30.48,Buy
75.64,1.7,3,2,2,RTN,Raytheon Company,3.03,Buy
75.63,2.2,1,2,5,HTHT,"China Lodging Group, Limited",-14.56,Buy
75.62,1.3,3,1,10,GZT,Gazit-Globe Ltd.,21.22,Buy
75.61,1.8,3,1,7,CRM,Salesforce.com Inc,13.65,Buy
75.56,2.1,3,2,1,CME,CME Group Inc.,5.89,Buy
75.56,4.0,1,2,8,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,149.9,Buy
75.53,2.1,2,1,8,TWO,Two Harbors Investments Corp,2.35,Buy
75.52,2.5,1,2,7,Z,"Zillow Group, Inc.",5.63,Buy
75.52,1.9,2,2,6,MAS,Masco Corporation,8.93,Buy
75.5,1.7,3,2,3,A,"Agilent Technologies, Inc.",8.84,Buy
75.42,2.5,2,2,5,AEM,Agnico Eagle Mines Limited,16.7,Buy
75.41,1.6,3,1,4,ILG,"ILG, Inc",12.06,
75.39,2.8,2,2,5,LPL,"LG Display Co., Ltd.",24.0,Buy
75.38,2.1,2,2,5,LAZ,Lazard Ltd.,6.45,Buy
75.33,2.1,2,2,5,WY,Weyerhaeuser Company,6.13,Buy
75.32,1.8,4,1,5,RDN,Radian Group Inc.,23.56,Buy
75.31,1.8,3,2,3,AFG,"American Financial Group, Inc.",10.2,Buy
75.31,2.0,3,2,7,MATX,"Matson, Inc.",41.84,Buy
75.3,1.8,3,1,6,RP,"RealPage, Inc.",5.13,Buy
75.3,1.8,1,2,6,VRTX,Vertex Pharmaceuticals Incorporated,-19.84,Buy
75.29,2.2,1,2,8,SWFT,Swift Transportation Company,3.38,Buy
75.27,1.4,3,1,9,EVH,"Evolent Health, Inc",14.94,Buy
75.26,1.7,4,1,5,KAR,"KAR Auction Services, Inc",20.74,Buy
75.24,2.0,3,1,17,AYX,"Alteryx, Inc.",1.22,Buy
75.24,1.0,2,2,10,CHU,China Unicom (Hong Kong) Ltd,11.43,Buy
75.19,2.2,3,1,5,ARMK,Aramark,7.82,Buy
75.16,2.3,3,2,1,BHLB,"Berkshire Hills Bancorp, Inc.",8.46,Buy
75.13,1.8,3,1,7,WPM,Wheaton Precious Metals Corp.,35.64,
75.06,1.8,3,2,4,FIX,"Comfort Systems USA, Inc.",15.38,Buy
75.03,1.8,3,2,5,CRI,"Carter&#39;s, Inc.",21.84,Buy
75.02,1.7,3,1,7,OSIS,"OSI Systems, Inc.",7.63,Buy
75.01,1.9,2,2,5,ABT,Abbott Laboratories,-0.79,Buy
75.01,2.1,2,2,5,GXP,Great Plains Energy Inc,4.21,Buy
75.0,2.0,4,2,17,SGYP,"Synergy Pharmaceuticals, Inc.",162.53,Buy
74.99,2.0,3,1,7,RMBS,"Rambus, Inc.",14.95,Buy
74.95,2.0,1,2,8,EXEL,"Exelixis, Inc.",-3.64,Buy
74.93,2.1,3,2,3,TMUS,"T-Mobile US, Inc.",15.4,Buy
74.9,1.7,4,1,4,FLEX,Flex Ltd.,11.9,Buy
74.9,1.6,3,1,8,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",11.06,Buy
74.89,1.5,4,1,7,VG,Vonage Holdings Corp.,26.87,Buy
74.86,2.1,3,2,2,ENTG,"Entegris, Inc.",8.32,Buy
74.85,1.8,3,1,9,SUPV,Grupo Supervielle S.A.,22.43,Buy
74.83,1.8,3,2,5,MEI,"Methode Electronics, Inc.",20.65,Buy
74.81,1.8,3,1,17,TLND,Talend S.A.,-5.97,Buy
74.8,1.0,3,2,10,BKD,Brookdale Senior Living Inc.,33.8,Buy
74.8,2.1,2,2,5,CCK,"Crown Holdings, Inc.",2.99,Buy
74.8,1.6,3,1,8,FTAI,Fortress Transportation and Infrastructure Investors LLC,10.47,Buy
74.78,1.6,4,1,17,DBVT,DBV Technologies S.A.,13.9,Buy
74.78,1.9,3,2,3,SNPS,"Synopsys, Inc.",9.53,Buy
74.77,2.0,2,2,3,ABM,ABM Industries Incorporated,12.16,Outperform
74.75,2.3,2,2,5,LNC,Lincoln National Corporation,7.68,Buy
74.71,1.9,2,1,11,OMAM,OM Asset Management plc,12.43,Buy
74.69,2.0,4,1,17,JAG,Jagged Peak Energy Inc.,23.46,Buy
74.67,2.1,2,2,5,LVS,Las Vegas Sands Corp.,2.19,Buy
74.65,2.1,3,2,3,CSCO,"Cisco Systems, Inc.",13.71,Buy
74.65,2.2,3,2,2,COL,"Rockwell Collins, Inc.",9.54,Buy
74.64,2.0,1,2,6,UHAL,Amerco,6.51,Outperform
74.64,1.9,3,1,7,XPO,"XPO Logistics, Inc.",10.35,Buy
74.63,2.1,3,2,17,RARE,Ultragenyx Pharmaceutical Inc.,25.65,Buy
74.6,2.2,3,2,2,FRME,First Merchants Corporation,9.24,Buy
74.6,2.6,2,2,7,SIR,Select Income REIT,27.61,Buy
74.59,1.7,2,1,11,PTLA,"Portola Pharmaceuticals, Inc.",6.71,Buy
74.59,1.7,3,1,9,CNQ,Canadian Natural Resources Limited,18.39,Buy
74.56,1.9,3,2,3,CELG,Celgene Corporation,8.17,Buy
74.56,1.9,2,6,9,KRG,Kite Realty Group Trust,23.64,Buy
74.56,2.2,3,2,2,MDT,Medtronic plc,9.05,Buy
74.54,1.8,3,1,7,IAC,IAC/InterActiveCorp,7.21,Buy
74.54,1.9,3,2,3,DLPH,Delphi Automotive plc,8.08,Buy
74.52,2.1,3,2,2,ALL,Allstate Corporation (The),6.26,Buy
74.52,2.0,3,2,3,GD,General Dynamics Corporation,10.45,Buy
74.51,2.0,2,2,7,GWR,"Genesee & Wyoming, Inc.",12.07,Buy
74.5,1.7,3,2,3,ITRI,"Itron, Inc.",2.81,Buy
74.5,1.8,3,1,5,MPWR,"Monolithic Power Systems, Inc.",-6.36,Buy
74.49,2.0,2,2,7,HLT,Hilton Worldwide Holdings Inc.,11.96,Buy
74.46,1.7,3,1,11,DXCM,"DexCom, Inc.",30.91,Buy
74.44,1.9,4,1,6,WDC,Western Digital Corporation,27.47,Buy
74.44,2.0,3,1,8,ARES,Ares Management L.P.,18.28,Buy
74.42,2.0,3,2,3,SCHW,The Charles Schwab Corporation,9.86,Buy
74.4,2.0,3,2,5,PAG,"Penske Automotive Group, Inc.",23.04,Buy
74.36,1.9,3,2,2,ROP,"Roper Technologies, Inc.",0.32,Buy
74.34,1.8,3,2,3,WGO,"Winnebago Industries, Inc.",4.4,Buy
74.32,1.7,3,1,8,BMCH,"BMC Stock Holdings, Inc.",10.11,Buy
74.32,2.1,2,2,5,FCFS,"First Cash, Inc.",0.09,Buy
74.32,2.3,3,2,4,IOSP,Innospec Inc.,23.42,Buy
74.32,2.1,2,2,5,FCFS,"First Cash, Inc.",0.09,Buy
74.32,1.8,3,2,7,HHC,Howard Hughes Corporation (The),30.94,Buy
74.31,2.3,3,2,8,EGRX,"Eagle Pharmaceuticals, Inc.",76.13,Buy
74.31,1.8,3,2,3,DLB,Dolby Laboratories,4.22,Buy
74.3,1.7,4,1,17,CWH,"Camping World Holdings, Inc.",14.0,Buy
74.25,2.0,3,2,2,ATVI,"Activision Blizzard, Inc",2.17,Buy
74.22,1.8,3,6,9,CZZ,Cosan Limited,44.43,Buy
74.22,2.1,3,1,11,YPF,YPF Sociedad Anonima,39.51,Buy
74.21,1.8,4,1,8,CPE,Callon Petroleum Company,36.93,Buy
74.2,1.5,2,2,5,HDB,HDFC Bank Limited,-15.63,Buy
74.18,2.0,3,2,4,ON,ON Semiconductor Corporation,15.09,Buy
74.12,2.0,3,2,5,HI,Hillenbrand Inc,21.38,Buy
74.11,1.9,3,2,2,EXLS,"ExlService Holdings, Inc.",-1.15,Buy
74.11,2.1,2,2,5,IT,"Gartner, Inc.",-1.18,Buy
74.08,2.3,2,2,6,OEC,Orion Engineered Carbons S.A,10.34,Buy
74.07,2.4,1,2,2,STBZ,State Bank Financial Corporation.,11.07,Hold
74.07,2.3,3,2,2,SYKE,"Sykes Enterprises, Incorporated",8.57,Buy
74.07,2.3,2,2,5,WLK,Westlake Chemical Corporation,3.58,Buy
74.03,1.9,3,2,5,STLD,"Steel Dynamics, Inc.",18.33,Buy
74.02,2.2,3,2,5,UHS,"Universal Health Services, Inc.",25.8,Buy
73.99,2.2,3,2,4,ADI,"Analog Devices, Inc.",18.93,Buy
73.98,1.6,3,6,5,MTG,MGIC Investment Corporation,11.59,Buy
73.98,1.8,3,2,3,RCL,Royal Caribbean Cruises Ltd.,2.23,Buy
73.97,1.9,3,2,5,DFS,Discover Financial Services,18.01,Buy
73.95,2.0,2,2,6,OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",2.04,Buy
73.92,2.2,2,2,8,WCC,"WESCO International, Inc.",20.17,Buy
73.91,2.0,3,2,5,WBA,"Walgreens Boots Alliance, Inc.",20.11,Buy
73.89,2.0,3,2,4,AMSF,"AMERISAFE, Inc.",13.34,Buy
73.89,2.0,3,2,5,BANC,"Banc of California, Inc.",20.0,Buy
73.88,1.5,3,6,5,SKM,"SK Telecom Co., Ltd.",8.56,Buy
73.86,1.7,3,2,4,AME,"AMTEK, Inc.",5.67,Buy
73.86,2.1,2,2,6,TDG,Transdigm Group Incorporated,4.0,Buy
73.86,2.0,2,2,5,WBC,Wabco Holdings Inc.,-5.16,Buy
73.84,1.9,2,2,6,CTLT,"Catalent, Inc.",-1.1,Buy
73.83,2.0,3,1,9,ERF,Enerplus Corporation,21.32,Buy
73.83,2.3,2,2,7,KS,KapStone Paper and Packaging Corporation,15.45,Buy
73.81,2.1,2,2,6,GWRE,"Guidewire Software, Inc.",3.69,Buy
73.79,2.1,3,2,4,CSX,CSX Corporation,15.25,Buy
73.79,2.3,3,2,5,DLTR,"Dollar Tree, Inc.",26.9,Buy
73.77,2.0,3,2,5,IRDM,Iridium Communications Inc,19.27,Buy
73.77,2.3,2,2,5,AET,Aetna Inc.,1.8,Buy
73.75,2.0,3,2,17,AA,Alcoa Corporation,18.76,Buy
73.75,2.4,2,2,5,KMX,CarMax Inc,4.15,Buy
73.75,2.4,2,2,8,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",24.18,Buy
73.74,2.2,2,2,6,KLXI,KLX Inc.,5.79,Buy
73.74,1.9,3,2,5,SPG,"Simon Property Group, Inc.",16.63,Buy
73.73,2.0,3,2,7,BABY,Natus Medical Incorporated,32.41,Buy
73.73,2.1,3,2,17,FRAC,"Keane Group, Inc.",21.17,Buy
73.72,1.6,4,1,8,EVHC,Envision Healthcare Corporation,28.98,Buy
73.71,1.5,2,2,8,FTS,Fortis Inc.,27.73,
73.68,2.2,3,2,3,IR,Ingersoll-Rand plc (Ireland),10.42,Buy
73.68,2.5,3,2,1,LEA,Lear Corporation,4.57,Buy
73.66,1.8,2,1,11,HUBS,"HubSpot, Inc.",3.65,Buy
73.66,1.8,3,2,5,MTZ,"MasTec, Inc.",13.64,Buy
73.64,2.5,3,2,6,MDR,"McDermott International, Inc.",37.68,Buy
73.62,2.1,3,2,4,TEP,"Tallgrass Energy Partners, LP",14.24,Buy
73.61,2.0,3,2,4,CSGS,"CSG Systems International, Inc.",11.64,Buy
73.61,2.0,3,2,2,EA,Electronic Arts Inc.,-1.69,Buy
73.61,1.9,3,2,17,REVG,"REV Group, Inc.",15.55,Buy
73.6,2.2,3,1,8,AAV,Advantage Oil & Gas Ltd,18.29,Buy
73.6,2.4,2,2,5,ALB,Albemarle Corporation,3.24,Buy
73.58,1.8,4,1,8,PXD,Pioneer Natural Resources Company,33.15,Buy
73.57,2.2,3,2,2,PCG,Pacific Gas & Electric Co.,3.09,Buy
73.47,2.3,4,2,17,RDUS,"Radius Health, Inc.",49.87,Buy
73.47,2.0,1,2,10,NNI,"Nelnet, Inc.",0.8,Buy
73.46,1.4,3,1,8,TWOU,"2U, Inc.",-2.55,Buy
73.44,1.7,4,1,7,VNOM,Viper Energy Partners LP,23.14,Buy
73.44,1.9,2,2,7,CC,Chemours Company (The),3.11,Buy
73.43,1.9,3,2,5,SIVB,SVB Financial Group,14.75,Buy
73.41,2.3,2,2,5,SHOO,"Steven Madden, Ltd.",-0.36,Buy
73.41,2.1,3,2,3,BLK,"BlackRock, Inc.",6.31,Buy
73.4,1.3,3,2,6,ASX,"Advanced Semiconductor Engineering, Inc.",6.22,Buy
73.36,2.3,3,2,4,FIBK,"First Interstate BancSystem, Inc.",17.65,Buy
73.36,1.8,3,2,9,ETP,"Energy Transfer Partners, L.P.",38.48,Buy
73.33,1.7,2,1,8,BZUN,Baozun Inc.,-20.85,Buy
73.31,2.2,3,2,2,SYK,Stryker Corporation,1.54,Buy
73.27,1.9,3,2,4,CDW,CDW Corporation,7.15,Buy
73.27,2.2,3,2,3,LTXB,"LegacyTexas Financial Group, Inc.",7.94,Buy
73.26,2.0,3,2,4,BRKS,"Brooks Automation, Inc.",9.57,Buy
73.26,2.2,2,2,5,VIAV,Viavi Solutions Inc.,-3.76,Buy
73.26,2.9,1,2,6,KOF,Coca Cola Femsa S.A.B. de C.V.,-4.63,Buy
73.26,2.1,3,2,8,VIPS,Vipshop Holdings Limited,38.75,Buy
73.25,1.4,3,1,10,PEN,"Penumbra, Inc.",9.48,Buy
73.22,2.3,2,2,8,IGT,International Game Technology,18.5,Buy
73.21,1.7,4,1,7,BLDR,"Builders FirstSource, Inc.",21.79,Buy
73.21,1.8,3,2,6,HCA,"HCA Healthcare, Inc.",17.6,Buy
73.21,1.9,2,2,7,JLL,Jones Lang LaSalle Incorporated,1.76,Buy
73.19,2.3,2,2,17,CBD,Companhia Brasileira de Distribuicao,-1.56,Buy
73.18,2.4,3,2,4,HOMB,"Home BancShares, Inc.",19.09,Buy
73.16,2.3,3,2,17,COUP,Coupa Software Incorporated,23.3,Buy
73.15,2.3,3,2,4,FCB,"FCB Financial Holdings, Inc.",16.4,Buy
73.12,2.7,2,2,5,FNV,Franco-Nevada Corporation,7.87,Buy
73.11,1.8,3,1,8,CVLT,"Commvault Systems, Inc.",5.35,Buy
73.09,2.3,3,2,2,ACN,Accenture plc,2.69,Buy
73.06,1.8,4,1,11,ARRY,Array BioPharma Inc.,67.31,Buy
73.06,2.3,3,2,5,SXI,Standex International Corporation,22.54,Buy
73.05,2.2,3,2,17,ATUS,"Altice USA, Inc.",20.25,Buy
73.04,2.0,1,2,3,SLF,Sun Life Financial Inc.,1.57,Hold
73.03,2.2,3,2,5,ACM,AECOM,19.84,Buy
73.03,3.0,2,2,17,ORAN,Orange,15.14,Buy
73.02,3.0,1,2,8,SHG,Shinhan Financial Group Co Ltd,9.8,Buy
73.02,1.7,3,2,5,BX,The Blackstone Group L.P.,7.28,Buy
73.02,2.0,3,2,17,VST,Vistra Energy Corp.,15.08,Buy
73.0,2.3,3,2,4,MATW,Matthews International Corporation,15.47,Buy
72.97,3.1,2,2,3,INFY,Infosys Limited,3.64,Buy
72.94,2.2,3,2,17,NTNX,"Nutanix, Inc.",19.72,Buy
72.94,2.1,3,2,3,EXC,Exelon Corporation,3.5,Buy
72.92,2.2,3,2,5,MINI,"Mobile Mini, Inc.",19.21,Buy
72.91,2.4,3,2,5,CAG,"ConAgra Brands, Inc.",24.15,Buy
72.91,1.0,3,2,8,MON,Monsanto Company,9.12,Buy
72.89,2.5,2,2,8,SRCL,"Stericycle, Inc.",21.49,Buy
72.88,2.1,3,2,5,KEY,KeyCorp,16.47,Buy
72.88,2.1,2,2,7,MCD,McDonald&#39;s Corporation,4.79,Buy
72.85,2.1,3,2,5,BECN,"Beacon Roofing Supply, Inc.",16.28,Buy
72.85,1.8,3,1,8,CALD,"Callidus Software, Inc.",3.79,Buy
72.85,2.0,3,2,5,GSK,GlaxoSmithKline PLC,13.77,Buy
72.85,1.7,4,1,5,MGM,MGM Resorts International,6.29,Buy
72.84,2.0,3,2,5,CVS,CVS Health Corporation,13.68,Buy
72.83,2.1,3,2,5,CRTO,Criteo S.A.,16.14,Buy
72.82,2.6,1,2,17,GOL,Gol Linhas Aereas Inteligentes S.A.,29.1,Hold
72.73,1.5,3,1,11,AXDX,"Accelerate Diagnostics, Inc.",15.52,Buy
72.73,2.0,3,2,5,PACW,PacWest Bancorp,13.07,Buy
72.73,1.9,3,1,8,THS,"Treehouse Foods, Inc.",5.55,Buy
72.72,2.2,3,1,8,ERI,"Eldorado Resorts, Inc.",12.98,Buy
72.7,1.7,4,2,2,ADC,Agree Realty Corporation,10.34,Buy
72.69,1.9,2,1,11,BNFT,"Benefitfocus, Inc.",0.28,Buy
72.64,2.2,3,2,6,FOXA,"Twenty-First Century Fox, Inc.",24.2,Buy
72.63,1.6,3,2,6,EFII,"Electronics for Imaging, Inc.",9.12,Buy
72.62,1.8,3,2,5,AMG,"Affiliated Managers Group, Inc.",7.38,Buy
72.62,2.2,3,2,8,MRC,MRC Global Inc.,37.36,Buy
72.61,2.0,2,2,7,EXPE,"Expedia, Inc.",0.68,Buy
72.61,2.9,2,2,3,PLD,"Prologis, Inc.",-3.5,Buy
72.58,2.0,3,2,5,HELE,Helen of Troy Limited,12.12,Buy
72.58,2.2,3,2,4,OSK,Oshkosh Corporation,10.49,Buy
72.54,2.0,2,2,6,PYPL,"PayPal Holdings, Inc.",-6.45,Buy
72.54,2.2,3,2,3,CRL,"Charles River Laboratories International, Inc.",3.58,Buy
72.53,1.9,4,1,8,BUFF,"Blue Buffalo Pet Products, Inc.",29.35,Buy
72.53,1.0,4,2,5,LUK,Leucadia National Corporation,11.86,Buy
72.53,2.0,3,2,5,LAD,"Lithia Motors, Inc.",11.85,Buy
72.53,1.7,4,1,5,PF,"Pinnacle Foods, Inc.",4.37,Buy
72.53,2.3,3,2,6,TGP,Teekay LNG Partners L.P.,26.03,Buy
72.52,2.0,3,2,4,ASH,Ashland Global Holdings Inc.,5.14,Buy
72.52,2.0,3,2,17,CBS,CBS Corporation,12.58,Buy
72.5,2.0,4,2,7,FL,"Foot Locker, Inc.",51.84,Buy
72.48,2.0,2,2,8,CONE,CyrusOne Inc,6.53,Buy
72.48,2.1,2,2,8,HPQ,HP Inc.,9.03,Buy
72.46,2.0,3,2,4,ZTS,Zoetis Inc.,4.74,Buy
72.45,2.5,2,2,5,SAIA,"Saia, Inc.",-1.12,Buy
72.45,2.0,3,2,10,WPX,"WPX Energy, Inc.",44.72,Buy
72.44,1.8,5,1,5,FNSR,Finisar Corporation,31.3,Buy
72.43,2.4,2,2,6,BYD,Boyd Gaming Corporation,2.94,Buy
72.41,2.6,2,6,5,CPA,"Copa Holdings, S.A.",3.72,Buy
72.39,1.8,3,1,11,HZNP,Horizon Pharma plc,21.03,Buy
72.39,1.6,4,2,3,LKQ,LKQ Corporation,12.67,Buy
72.36,1.8,1,2,11,EXAS,Exact Sciences Corporation,-4.16,Buy
72.36,2.1,2,2,8,FBR,Fibria Celulose S.A.,8.31,Buy
72.35,1.7,4,2,4,OZRK,Bank of the Ozarks,21.59,Buy
72.34,2.2,3,2,5,GEO,Geo Group Inc (The),15.7,Buy
72.34,6,3,2,5,MLM,"Martin Marietta Materials, Inc.",13.38,Buy
72.34,2.0,3,2,5,ORA,"Ormat Technologies, Inc.",10.72,Buy
72.33,2.4,2,2,5,ARW,"Arrow Electronics, Inc.",-4.36,Buy
72.33,2.0,3,2,5,COH,"Coach, Inc.",10.67,Buy
72.33,2.1,3,2,4,ZBH,"Zimmer Biomet Holdings, Inc.",6.45,Buy
72.32,1.8,3,2,4,PAYC,"Paycom Software, Inc.",-1.09,Buy
72.31,2.0,3,2,5,GEF,Greif Bros. Corporation,10.54,Buy
72.29,2.0,3,2,7,ATNI,"ATN International, Inc.",23.72,Buy
72.29,2.3,3,2,5,TAP,Molson Coors Brewing  Company,17.92,Buy
72.26,1.5,3,1,11,PRTA,Prothena Corporation plc,12.74,Buy
72.25,2.5,3,2,6,FBP,First BanCorp.,29.31,Buy
72.23,2.6,3,2,17,FTI,TechnipFMC plc,26.17,Buy
72.22,2.0,3,2,11,GPOR,Gulfport Energy Corporation,58.55,Buy
72.22,2.0,3,2,11,LXRX,"Lexicon Pharmaceuticals, Inc.",60.05,Buy
72.22,2.0,3,2,11,CPG,Crescent Point Energy Corporation,67.38,Buy
72.22,2.0,3,2,11,XON,Intrexon Corporation,55.71,Buy
72.22,2.2,3,2,5,KFY,Korn/Ferry International,14.99,Buy
72.22,2.1,2,2,9,OMF,"OneMain Holdings, Inc.",14.16,Buy
72.19,2.1,3,2,17,ELF,"e.l.f. Beauty, Inc.",13.46,Buy
72.18,2.3,3,2,6,PAAS,Pan American Silver Corp.,23.89,Buy
72.16,2.2,3,2,17,ESPR,"Esperion Therapeutics, Inc.",15.81,Buy
72.16,2.5,3,2,3,PFS,"Provident Financial Services, Inc",8.78,Buy
72.15,2.1,3,2,5,IDTI,"Integrated Device Technology, Inc.",12.07,Buy
72.15,1.7,3,2,17,HOME,At Home Group Inc.,3.27,Buy
72.13,2.1,3,2,3,CLGX,"CoreLogic, Inc.",-1.4,Buy
72.12,1.7,3,2,17,DEO,Diageo plc,3.08,Buy
72.11,2.3,3,2,5,ADS,Alliance Data Systems Corporation,16.85,Buy
72.1,2.0,3,2,6,LDOS,"Leidos Holdings, Inc.",15.93,Buy
72.06,1.8,3,1,9,INCY,Incyte Corporation,5.69,Buy
72.06,2.1,3,2,5,BAC,Bank of America Corporation,11.52,Buy
72.05,1.8,3,2,5,POWI,"Power Integrations, Inc.",3.94,Buy
72.05,2.3,3,2,4,APD,"Air Products and Chemicals, Inc.",9.8,Buy
72.05,1.9,3,2,5,APO,"Apollo Global Management, LLC",6.46,Buy
72.05,2.6,3,2,2,TEO,Telecom Argentina Stet - France Telecom S.A.,3.94,Buy
72.03,2.6,1,2,2,CATY,Cathay General Bancorp,3.87,Hold
72.01,2.0,4,1,5,LBRDK,Liberty Broadband Corporation,8.74,Buy
72.0,2.6,1,2,3,CW,Curtiss-Wright Corporation,10.36,Hold
71.98,2.1,3,2,4,TTWO,"Take-Two Interactive Software, Inc.",4.35,Buy
71.97,2.0,2,2,8,PEGI,Pattern Energy Group Inc.,3.5,Buy
71.96,1.9,3,2,17,LAUR,"Laureate Education, Inc.",7.31,Buy
71.94,2.8,1,2,8,ENIA,Enel Americas S.A.,-1.7,Buy
71.92,2.4,1,2,3,DE,Deere & Company,4.83,Hold
71.91,2.0,3,2,8,AYA,Amaya Inc.,28.13,Buy
71.9,2.2,3,2,5,AIMC,Altra Industrial Motion Corp.,13.07,Buy
71.88,2.3,3,2,5,BKU,"BankUnited, Inc.",15.44,Buy
71.88,2.4,3,2,5,MTX,Minerals Technologies Inc.,17.97,Buy
71.85,2.1,3,2,5,KRC,Kilroy Realty Corporation,10.28,Buy
71.83,1.5,4,6,9,GLNG,Golar LNG Limited,53.0,Buy
71.83,2.0,3,2,4,GRUB,GrubHub Inc.,0.98,Buy
71.82,1.5,3,1,12,NKTR,Nektar Therapeutics,16.78,Buy
71.82,2.3,2,2,7,MSI,"Motorola Solutions, Inc.",3.44,Buy
71.81,2.0,3,2,5,AAPL,Apple Inc.,7.52,Buy
71.81,2.1,3,2,11,QEP,"QEP Resources, Inc.",61.81,Buy
71.8,2.0,3,2,5,CCI,Crown Castle International Corporation,7.47,Buy
71.8,2.3,3,2,5,PLT,"Plantronics, Inc.",14.95,Buy
71.79,2.2,2,2,1,AOS,Smith (A.O.) Corporation,10.72,Hold
71.79,2.3,3,2,5,UNP,Union Pacific Corporation,14.92,Buy
71.77,1.9,3,2,5,OXM,"Oxford Industries, Inc.",4.76,Buy
