Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
95.0,AMRN,Amarin Corporation plc,1.60,2,1,1.0,17,99.43,1
93.61,COHR,"Coherent, Inc.",1.70,1,1,1.0,2,18.32,1
93.15,NXST,"Nexstar Media Group, Inc.",1.40,1,1,1.0,5,35.57,1
92.23,NCSM,"NCS Multistage Holdings, Inc.",1.80,2,1,1.0,17,36.15,1
92.11,AGO,Assured Guaranty Ltd.,1.50,1,1,6,4,30.53,1
92.03,IIVI,II-VI Incorporated,2.20,1,1,1.0,2,8.83,1
91.54,THO,"Thor Industries, Inc.",1.60,1,1,6,1,7.69,1
91.39,SBGI,"Sinclair Broadcast Group, Inc.",1.60,2,1,1.0,5,56.59,1
90.78,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,5,30.58,1
90.53,MIC,Macquarie Infrastructure Company,1.90,1,1,6,5,29.3,1
90.43,AMAT,"Applied Materials, Inc.",1.80,1,1,1.4000000000000004,2,9.26,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.80,3,1,1.0,17,63.83,1
89.01,LBRDA,Liberty Broadband Corporation,2.20,1,1,1.0,7,24.05,1
88.99,HTHT,"China Lodging Group, Limited",1.90,1,1,1.0,3,-2.7,1
88.98,TTD,"The Trade Desk, Inc.",1.90,1,1,1.0,17,-5.1,1
88.63,QUAD,"Quad Graphics, Inc",1.50,1,1,6,8,39.8,1
88.56,USNA,"USANA Health Sciences, Inc.",1.00,1,1,6,5,19.49,1
88.43,MU,"Micron Technology, Inc.",1.80,1,1,1.5999999999999996,5,22.26,1
88.39,GFF,Griffon Corporation,2.00,1,1,6,6,25.28,1
88.38,EEFT,"Euronet Worldwide, Inc.",1.70,2,1,1.0,2,11.93,1
88.12,NTRI,NutriSystem Inc,1.40,3,1,1.0,1,28.75,1
87.92,GOOG,Alphabet Inc.,1.60,1,1,1.5,4,10.02,1
87.42,TSEM,Tower Semiconductor Ltd.,2.00,1,1,6,5,13.78,1
87.25,OCLR,"Oclaro, Inc.",1.70,3,1,1.0,3,36.83,1
86.79,NTNX,"Nutanix, Inc.",2.10,2,2,1.0,17,33.97,1
86.77,PLYA,Playa Hotels & Resorts N.V.,2.00,3,1,1.0,17,33.85,1
86.75,CVCO,"Cavco Industries, Inc.",1.50,1,1,6,4,3.73,1
86.62,ARLP,"Alliance Resource Partners, L.P.",2.30,1,2,1.0,8,41.36,1
86.61,UNH,UnitedHealth Group Incorporated,1.50,2,1,6,1,8.05,1
86.55,BRKL,"Brookline Bancorp, Inc.",2.20,1,2,1.0,2,0.95,1
86.41,QVCB,Liberty Interactive Corporation,6,1,2,1.5,17,19.57,1
86.12,BYSI,"BeyondSpring, Inc.",2.00,3,1,1.0,17,30.6,1
86.02,AERI,"Aerie Pharmaceuticals, Inc.",1.90,3,1,1.0,17,30.1,1
85.71,RGEN,Repligen Corporation,1.80,2,1,1.0,6,22.62,1
85.7,TMO,Thermo Fisher Scientific Inc,1.50,2,1,6,1,3.51,1
85.69,FB,"Facebook, Inc.",1.80,2,1,1.7999999999999998,2,15.83,1
85.09,BAM,Brookfield Asset Management Inc,1.90,1,1,6,5,2.11,1
85.03,FOX,"Twenty-First Century Fox, Inc.",2.00,1,2,1.7000000000000002,6,36.0,1
85.0,MOMO,Momo Inc.,1.80,3,1,1.0,7,56.4,1
85.0,UNIT,Uniti Group Inc.,2.20,3,2,1.0,17,95.57,1
84.97,AIMT,"Aimmune Therapeutics, Inc.",1.60,4,1,1.0,17,49.84,1
84.91,KRNY,Kearny Financial,2.30,1,2,1.0,5,11.11,1
84.87,USCR,"U S Concrete, Inc.",1.30,1,1,2.0,6,17.57,1
84.85,WRK,Westrock Company,1.90,2,1,6,3,12.6,1
84.66,BABA,Alibaba Group Holding Limited,1.60,2,1,6,3,11.61,1
84.52,EGRX,"Eagle Pharmaceuticals, Inc.",2.30,1,2,1.0,8,28.76,1
84.47,BECN,"Beacon Roofing Supply, Inc.",1.80,2,1,1.2999999999999998,3,2.66,1
84.35,TIG,TiGenix,6,3,1,1.0,17,21.75,1
84.33,KW,Kennedy-Wilson Holdings Inc.,2.00,1,2,6,9,65.79,1
84.3,INSM,"Insmed, Inc.",1.80,3,1,1.0,17,21.48,1
84.24,WB,Weibo Corporation,1.90,1,1,1.7000000000000002,5,-0.4,1
84.23,LGND,Ligand Pharmaceuticals Incorporated,2.00,1,1,1.7000000000000002,5,-0.43,1
84.21,DBVT,DBV Technologies S.A.,1.60,3,1,1.0,17,21.04,1
84.07,FNF,"Fidelity National Financial, Inc.",2.00,3,2,6,1,45.35,1
84.05,DLX,Deluxe Corporation,2.00,1,2,6,3,8.58,1
83.91,GZT,Gazit-Globe Ltd.,1.30,1,1,6,10,29.54,1
83.89,XPER,Xperi Corporation,1.50,3,1,1.0,8,94.61,1
83.8,BGCP,"BGC Partners, Inc.",1.50,1,1,6,5,-4.33,1
83.67,WCN,"Waste Connections, Inc.",1.90,2,1,6,3,6.68,1
83.63,AGRO,Adecoagro S.A.,2.00,1,2,6,8,39.83,1
83.63,SNX,Synnex Corporation,1.70,1,2,6,4,13.13,1
83.61,BERY,"Berry Global Group, Inc.",1.80,2,1,6,4,13.06,1
83.53,AER,Aercap Holdings N.V.,1.80,2,1,6,5,19.3,1
83.52,BBU,Brookfield Business Partners L.P.,2.00,1,1,6,8,14.29,1
83.4,EPAM,"EPAM Systems, Inc.",1.90,2,1,6,3,5.34,1
83.36,IOSP,Innospec Inc.,1.70,2,1,6,5,18.49,1
83.35,JAZZ,Jazz Pharmaceuticals plc,2.10,1,2,1.9000000000000004,5,24.26,1
83.34,CMCSA,Comcast Corporation,1.70,3,1,1.2000000000000002,3,18.39,1
83.34,TLK,"PT Telekomunikasi Indonesia, Tbk",3.00,1,2,6,4,11.68,1
83.29,UFPI,"Universal Forest Products, Inc.",1.00,3,1,1.0,4,19.75,1
83.13,ARES,Ares Management L.P.,2.00,2,1,6,5,17.33,1
82.98,CELG,Celgene Corporation,1.70,2,2,1.2999999999999998,2,12.06,1
82.94,STMP,Stamps.com Inc.,1.70,3,1,1.0,3,10.98,1
82.88,NBIX,"Neurocrine Biosciences, Inc.",1.60,1,1,1.0,10,7.3,1
82.77,ESPR,"Esperion Therapeutics, Inc.",2.00,3,1,1.0,17,13.86,1
82.71,UCBI,"United Community Banks, Inc.",2.10,2,2,1.0,3,9.61,1
82.7,TKC,Turkcell Iletisim Hizmetleri AS,2.20,2,1,6,6,21.82,1
82.56,FLT,"FleetCor Technologies, Inc.",1.60,2,1,6,5,14.46,1
82.52,BOFI,"BofI Holding, Inc.",1.40,3,1,1.0,5,21.78,1
82.52,TRQ,Turquoise Hill Resources Ltd.,3.00,1,2,6,9,40.91,1
82.42,XNCR,"Xencor, Inc.",1.60,3,1,1.0,8,41.19,1
82.4,TECK,Teck Resources Ltd,2.00,2,1,6,7,26.98,1
82.39,LAD,"Lithia Motors, Inc.",2.10,1,2,6,3,0.27,1
82.31,VOD,Vodafone Group Plc,1.30,1,2,2.2,17,16.56,1
82.24,LHCG,LHC Group,1.70,3,1,1.0,2,0.1,1
82.23,EL,"Estee Lauder Companies, Inc. (The)",1.90,1,2,6,4,6.16,1
82.23,TSN,"Tyson Foods, Inc.",2.30,1,2,6,4,6.14,1
82.21,IBP,"Installed Building Products, Inc.",1.90,2,1,6,3,-0.61,1
82.18,ALGN,"Align Technology, Inc.",1.40,3,1,1.0,3,6.39,1
82.18,YY,YY Inc.,1.90,1,2,1.0,6,1.42,1
82.18,WGO,"Winnebago Industries, Inc.",2.10,1,2,6,2,-7.41,1
82.15,FANG,"Diamondback Energy, Inc.",1.80,2,1,1.7999999999999998,5,14.54,1
