Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
95.0,AERI,"Aerie Pharmaceuticals, Inc.",1.80,2,1,1.0,17,74.19,1
94.26,BA,Boeing Company (The),2.20,1,1,6,1,21.31,1
92.4,ENSG,"The Ensign Group, Inc.",1.80,1,1,1.0,1,4.39,1
91.39,SSNC,"SS&C Technologies Holdings, Inc.",1.70,1,1,1.0,3,11.66,1
91.33,SKYW,"SkyWest, Inc.",1.90,1,1,1.0,6,31.3,1
90.94,SNPS,"Synopsys, Inc.",1.90,1,1,1.0,3,8.98,1
90.06,PWR,"Quanta Services, Inc.",1.80,1,1,6,4,20.32,1
90.0,ADOM,"ADOMANI, Inc.",6,3,1,1.0,17,442.15,1
90.0,AIMT,"Aimmune Therapeutics, Inc.",1.90,3,1,1.0,17,144.58,1
90.0,AMRN,Amarin Corporation plc,1.50,3,1,1.0,17,72.32,1
90.0,BYSI,"BeyondSpring, Inc.",6,3,1,1.0,17,248.82,1
90.0,ESPR,"Esperion Therapeutics, Inc.",2.10,2,2,1.0,17,75.2,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.70,3,1,1.0,17,59.74,1
89.67,ATHM,Autohome Inc.,2.20,1,2,6,5,624.58,1
89.3,BIO,"Bio-Rad Laboratories, Inc.",1.80,1,1,6,3,9.83,1
89.1,OSIS,"OSI Systems, Inc.",6,1,1,1.0,5,11.25,1
89.02,WD,"Walker & Dunlop, Inc.",1.50,1,1,6,5,21.77,1
87.86,SLM,SLM Corporation,1.40,2,1,1.0,5,28.82,1
87.84,TSEM,Tower Semiconductor Ltd.,6,6,1,1.0,7,29.2,1
87.61,INSM,"Insmed, Inc.",1.80,3,1,1.0,17,38.07,1
87.46,HRS,Harris Corporation,1.90,2,1,6,1,12.3,1
87.22,SUPN,"Supernus Pharmaceuticals, Inc.",1.80,3,1,1.0,5,51.24,1
87.22,YNDX,Yandex N.V.,1.70,3,1,1.0,5,7973.11,1
87.2,AME,"AMTEK, Inc.",1.50,2,1,6,1,10.99,1
86.85,CNC,Centene Corporation,1.90,2,1,6,4,29.23,1
86.44,COLM,Columbia Sportswear Company,1.90,1,2,1.7000000000000002,1,11.12,1
86.41,EEFT,"Euronet Worldwide, Inc.",6,2,1,1.0,3,6.8,1
86.27,SAGE,"Sage Therapeutics, Inc.",1.60,3,1,1.0,17,31.33,1
86.26,EWBC,"East West Bancorp, Inc.",1.90,2,1,1.0,5,19.25,1
86.22,CIGI,Colliers International Group Inc. ,2.00,1,2,2.0,3,30.63,1
86.11,BZUN,Baozun Inc.,1.90,2,1,2.0,6,726.39,1
86.11,MOMO,Momo Inc.,1.80,3,1,1.0,6,683.38,1
86.1,WCG,"WellCare Health Plans, Inc.",1.80,2,1,6,5,32.17,1
86.09,FIS,"Fidelity National Information Services, Inc.",1.80,1,2,6,2,12.1,1
86.0,BABA,Alibaba Group Holding Limited,1.60,3,1,6,4,653.4,1
85.97,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,2.40,1,2,2.3,5,2091.29,1
85.78,ECPG,Encore Capital Group Inc,1.90,2,1,1.0,8,36.33,1
85.72,CYBR,CyberArk Software Ltd.,1.80,2,1,1.0,3,2.66,1
