Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
96.14,EBIX,"Ebix, Inc.",2.00,1,1,6,2,37.37,1
95.56,YY,YY Inc.,1.70,1,1,1.0,5,58.63,1
95.0,BYSI,"BeyondSpring, Inc.",2.00,2,1,1.0,17,123.29,1
95.0,SAGE,"Sage Therapeutics, Inc.",1.60,2,1,1.0,17,50.34,1
94.67,DLX,Deluxe Corporation,1.50,1,1,6,5,69.55,1
94.49,AERI,"Aerie Pharmaceuticals, Inc.",1.80,1,1,1.0,17,22.45,1
94.44,TSEM,Tower Semiconductor Ltd.,2.00,1,1,1.0,6,68.37,1
93.72,MSFT,Microsoft Corporation,1.70,1,1,1.0999999999999996,1,14.81,1
93.33,IRCP,IRSA Propiedades Comerciales S.A.,2.00,1,1,1.0,7,72.47,1
93.33,ARCO,Arcos Dorados Holdings Inc.,1.60,1,1,6,6,64.14,1
93.28,LBTYK,Liberty Global plc,6,1,2,1.2000000000000002,17,46.39,1
93.05,MOMO,Momo Inc.,1.70,1,1,1.0,5,34.97,1
92.65,IIVI,II-VI Incorporated,2.10,1,1,1.0,3,19.22,1
92.0,GFF,Griffon Corporation,1.50,1,1,6,7,56.07,1
91.97,MCHP,Microchip Technology Incorporated,1.70,1,1,1.2000000000000002,3,20.17,1
91.65,LEN,Lennar Corporation,1.90,1,1,6,5,34.93,1
91.49,IAC,IAC/InterActiveCorp,1.70,1,1,1.2000000000000002,5,30.58,1
91.45,LBTYB,Liberty Global plc,6,1,2,1.2000000000000002,17,37.25,1
91.39,AMWD,American Woodmark Corporation,1.80,1,2,1.0,5,62.97,1
91.2,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,6,39.33,1
91.11,XPER,Xperi Corporation,2.00,1,1,1.0,9,125.71,1
90.95,MT,ArcelorMittal,1.60,1,1,6,5,31.41,1
90.7,ENTG,"Entegris, Inc.",1.90,1,1,2.3,1,26.71,1
90.61,AGO,Assured Guaranty Ltd.,1.60,1,1,6,5,29.73,1
90.48,LKQ,LKQ Corporation,1.50,1,1,1.2000000000000002,6,31.23,1
90.0,AIMT,"Aimmune Therapeutics, Inc.",1.80,3,1,1.0,17,118.26,1
90.0,DBVT,DBV Technologies S.A.,1.60,3,1,1.0,17,120.31,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.80,3,1,1.0,17,88.12,1
90.0,INSM,"Insmed, Inc.",2.00,3,1,1.0,17,52.33,1
89.67,BGCP,"BGC Partners, Inc.",1.50,2,1,6,5,64.21,1
