Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
97.57,NTRI,NutriSystem Inc,1.40,1,1,1.0,1,35.44,1
95.0,UNIT,Uniti Group Inc.,1.90,2,1,1.0,17,64.02,1
94.57,TSEM,Tower Semiconductor Ltd.,2.00,1,1,1.0,4,37.42,1
93.26,APOG,"Apogee Enterprises, Inc.",1.70,1,1,1.0,4,29.55,1
93.19,TGS,Transportadora De Gas Sa Ord B,2.00,1,1,6,3,29.27,1
92.89,GFF,Griffon Corporation,2.00,1,1,6,6,47.76,1
92.32,LRCX,Lam Research Corporation,2.00,1,1,1.5,1,16.41,1
92.15,TTD,"The Trade Desk, Inc.",1.90,1,1,1.0,17,10.74,1
92.0,QUAD,"Quad Graphics, Inc",1.50,1,1,6,7,68.16,1
91.65,SKYW,"SkyWest, Inc.",2.00,1,1,1.0,5,26.55,1
91.29,QVCB,Liberty Interactive Corporation,6,1,1,1.7000000000000002,17,23.95,1
91.25,AERI,"Aerie Pharmaceuticals, Inc.",1.90,2,1,1.0,17,31.23,1
90.94,TLK,"PT Telekomunikasi Indonesia, Tbk",3.00,1,1,6,1,4.7,1
90.89,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,4,24.47,1
90.67,AGRO,Adecoagro S.A.,2.00,1,1,6,8,54.85,1
90.29,ALGN,"Align Technology, Inc.",1.40,1,1,1.0,3,5.07,1
90.28,LHCG,LHC Group,1.80,1,1,1.0,3,5.01,1
90.2,MU,"Micron Technology, Inc.",1.80,1,1,1.5,5,30.34,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.70,3,1,1.0,17,85.31,1
90.0,INSM,"Insmed, Inc.",1.80,3,1,1.0,17,96.41,1
89.78,USNA,"USANA Health Sciences, Inc.",1.00,1,1,6,5,25.56,1
89.67,DAL,"Delta Air Lines, Inc.",2.00,1,1,6,6,31.66,1
89.67,TAL,TAL Education Group,1.80,2,1,6,5,497.17,1
89.48,CVGW,"Calavo Growers, Inc.",1.50,2,1,1.0,1,11.88,1
89.31,FNSR,Finisar Corporation,1.80,2,1,1.5,5,54.88,1
89.07,SNE,Sony Corp Ord,1.00,1,1,6,4,15.34,1
88.97,BRKS,"Brooks Automation, Inc.",1.70,1,1,6,4,14.85,1
88.87,ALXN,"Alexion Pharmaceuticals, Inc.",1.90,1,1,1.2000000000000002,6,21.57,1
88.8,CVCO,"Cavco Industries, Inc.",2.00,1,1,6,4,13.99,1
88.65,AGO,Assured Guaranty Ltd.,1.50,1,1,6,4,13.27,1
88.22,ORBK,Orbotech Ltd.,1.70,2,1,1.0,2,10.99,1
88.18,TRP,TransCanada Corporation,1.80,1,1,6,5,17.57,1
88.11,SWM,"Schweitzer-Mauduit International, Inc.",1.00,1,1,6,6,23.87,1
88.07,ETFC,E*TRADE Financial Corporation,2.30,1,2,1.0,2,10.09,1
87.88,WAL,Western Alliance Bancorporation,1.80,2,1,6,2,21.07,1
87.8,KB,KB Financial Group Inc,1.00,1,1,6,6,22.33,1
87.66,GOOG,Alphabet Inc.,1.80,1,1,1.7999999999999998,4,15.97,1
87.62,LOPE,"Grand Canyon Education, Inc.",1.50,2,1,1.0,2,7.39,1
87.32,OC,Owens Corning Inc,2.20,1,2,6,1,11.59,1
87.28,MTZ,"MasTec, Inc.",1.80,1,2,6,5,38.06,1
87.22,SBGI,"Sinclair Broadcast Group, Inc.",1.60,3,1,1.0,5,69.46,1
87.17,MMSI,"Merit Medical Systems, Inc.",1.60,1,1,2.0,3,11.38,1
87.16,COHR,"Coherent, Inc.",1.70,3,1,1.0,2,29.63,1
87.07,SSNC,"SS&C Technologies Holdings, Inc.",1.90,2,1,1.5,2,16.59,1
86.89,PSDO,"Presidio, Inc.",1.90,3,1,1.0,17,34.43,1
86.84,NCSM,"NCS Multistage Holdings, Inc.",1.80,3,1,1.0,17,34.2,1
86.58,LBRDA,Liberty Broadband Corporation,2.20,1,1,1.0,5,-3.85,1
86.46,FOX,"Twenty-First Century Fox, Inc.",2.00,1,6,1.5999999999999996,6,30.62,1
