Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
96.47,1.4,1,1,1.0,1,NTRI,NutriSystem Inc,35.31,Buy
93.36,2.0,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,48.48,Buy
93.15,1.6,1,1,1.0,17,NBIX,"Neurocrine Biosciences, Inc.",23.91,Buy
92.3,2.0,1,1,1.0,4,TSEM,Tower Semiconductor Ltd.,41.07,Buy
91.25,1.5,1,1,6,7,QUAD,"Quad Graphics, Inc",65.8,Buy
91.08,1.0,1,1,6,4,SNE,Sony Corp Ord,16.49,Buy
90.81,2.0,1,1,1.5,1,LRCX,Lam Research Corporation,23.17,Buy
90.67,1.4,1,1,1.0,3,ALGN,"Align Technology, Inc.",8.03,Buy
90.54,1.0,1,1,6,5,USNA,"USANA Health Sciences, Inc.",19.9,Buy
90.52,1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",42.81,Buy
90.47,1.0,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",26.18,Buy
90.27,1.0,1,1,6,6,KB,KB Financial Group Inc,24.93,Buy
89.84,2.0,1,1,6,6,GFF,Griffon Corporation,47.37,Buy
89.76,1.9,2,1,1.0,17,AERI,"Aerie Pharmaceuticals, Inc.",36.05,Buy
89.44,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,12.46,Buy
88.99,1.5,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",10.43,Buy
88.78,2.0,1,1,6,2,CVCO,"Cavco Industries, Inc.",14.35,Buy
88.75,1.7,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",85.64,Buy
88.75,1.7,3,1,1.0,17,INSM,"Insmed, Inc.",98.11,Buy
88.75,1.7,3,1,1.0,17,UNIT,Uniti Group Inc.,65.2,Buy
88.58,1.7,1,2,1.0,3,MKSI,"MKS Instruments, Inc.",25.87,Buy
