Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
95.03,ETFC,E*TRADE Financial Corporation,2.10,1,1,1.0,2,26.86,1
94.64,TSEM,Tower Semiconductor Ltd.,2.00,1,1,6,3,36.55,1
94.57,AGO,Assured Guaranty Ltd.,1.60,1,1,6,4,42.86,1
94.44,KLIC,"Kulicke and Soffa Industries, Inc.",1.30,1,1,1.0,6,60.98,1
94.31,LRCX,Lam Research Corporation,1.90,1,1,1.2999999999999998,5,54.1,1
93.33,GFF,Griffon Corporation,2.00,1,1,6,6,52.17,1
93.33,QUAD,"Quad Graphics, Inc",1.50,1,1,6,6,58.65,1
92.22,MU,"Micron Technology, Inc.",1.80,1,1,1.5999999999999996,5,45.0,1
91.9,AMAT,"Applied Materials, Inc.",1.70,2,1,1.4000000000000004,3,49.73,1
91.9,RSPP,"RSP Permian, Inc.",1.70,1,1,6,7,49.52,1
91.39,SBGI,"Sinclair Broadcast Group, Inc.",1.60,2,1,1.0,5,52.96,1
91.11,XPER,Xperi Corporation,1.70,1,1,1.0,9,154.36,1
90.83,EGBN,"Eagle Bancorp, Inc.",1.40,1,1,1.0,4,14.95,1
90.82,DLX,Deluxe Corporation,2.00,1,1,6,4,24.11,1
90.79,GPK,Graphic Packaging Holding Company,1.90,1,1,6,4,23.97,1
90.56,COHR,"Coherent, Inc.",1.80,3,1,1.0,2,64.65,1
90.37,CVCO,"Cavco Industries, Inc.",1.50,1,1,6,2,8.52,1
90.36,SBCF,Seacoast Banking Corporation of Florida,2.00,2,1,1.0,2,23.81,1
90.28,BPOP,"Popular, Inc.",1.70,1,1,1.0,5,18.37,1
90.23,FSS,Federal Signal Corporation,2.00,1,1,6,5,27.8,1
90.17,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,6,34.2,1
90.15,TTD,"The Trade Desk, Inc.",1.80,1,1,1.0,9,44.21,1
90.08,AVGO,Broadcom Limited,1.70,2,1,1.2000000000000002,4,40.48,1
90.0,AIMT,"Aimmune Therapeutics, Inc.",1.70,3,1,1.0,17,57.19,1
90.0,BYSI,"BeyondSpring, Inc.",2.00,3,1,1.0,17,111.56,1
90.0,PLYA,Playa Hotels & Resorts N.V.,2.00,3,1,1.0,17,50.51,1
89.82,PPBI,Pacific Premier Bancorp Inc,1.90,2,1,1.0,2,20.58,1
89.67,NGHC,National General Holdings Corp,2.00,2,1,6,5,50.11,1
89.61,NUAN,"Nuance Communications, Inc.",1.90,1,1,1.0,9,41.02,1
89.58,UNH,UnitedHealth Group Incorporated,1.50,2,1,6,1,22.89,1
89.42,SLM,SLM Corporation,1.60,2,1,1.0,6,44.86,1
89.4,RDN,Radian Group Inc.,1.90,1,1,6,6,30.31,1
89.33,MDP,Meredith Corporation,2.00,1,2,6,4,41.66,1
89.27,GVA,Granite Construction Incorporated,1.80,2,1,6,2,28.03,1
89.15,HSC,Harsco Corporation,1.80,1,1,6,8,42.41,1
89.13,BLD,TopBuild Corp.,2.00,1,1,6,5,22.31,1
89.01,MTZ,"MasTec, Inc.",1.50,1,1,6,5,21.7,1
89.0,CNQ,Canadian Natural Resources Limited,1.70,1,1,6,8,41.68,1
88.98,TVTY,"Tivity Health, Inc.",1.60,2,1,1.0,5,35.55,1
88.95,AAWW,Atlas Air Worldwide Holdings,2.10,2,1,1.0,6,42.03,1
88.84,PXD,Pioneer Natural Resources Company,1.90,1,1,6,5,20.89,1
88.79,ESNT,Essent Group Ltd.,1.90,2,1,6,2,25.6,1
88.73,LEN,Lennar Corporation,1.90,2,1,6,3,31.96,1
88.46,POST,"Post Holdings, Inc.",1.40,2,1,6,5,43.95,1
88.33,DAL,"Delta Air Lines, Inc.",1.60,2,1,6,4,36.64,1
88.08,QVCB,Liberty Interactive Corporation,6,1,2,1.0,17,15.42,1
88.02,BOFI,"BofI Holding, Inc.",1.60,1,1,1.0,5,4.8,1
87.72,TELL,Tellurian Inc.,1.70,3,1,1.0,17,38.61,1
87.69,HCM,Hutchison China MediTech Limited,1.30,3,1,1.0,17,38.46,1
87.6,TECK,Teck Resources Ltd,2.10,1,1,6,7,27.99,1
87.57,ALRM,"Alarm.com Holdings, Inc.",1.90,1,2,1.0,8,47.1,1
87.42,MKSI,"MKS Instruments, Inc.",1.30,2,1,1.0,4,19.53,1
87.36,ROP,"Roper Technologies, Inc.",1.80,1,2,6,1,11.8,1
87.33,KRNY,Kearny Financial,2.30,1,2,1.0,6,32.3,1
87.31,SPR,"Spirit Aerosystems Holdings, Inc.",2.10,1,2,6,2,18.23,1
87.29,PENN,"Penn National Gaming, Inc.",2.20,1,2,1.0,5,25.41,1
87.27,FB,"Facebook, Inc.",1.80,2,1,1.7999999999999998,2,25.31,1
87.27,WAL,Western Alliance Bancorporation,1.50,2,1,6,2,18.02,1
87.22,NTRI,NutriSystem Inc,1.40,3,1,1.0,5,77.4,1
87.08,ORBK,Orbotech Ltd.,1.60,3,1,1.0,2,29.12,1
86.94,FLT,"FleetCor Technologies, Inc.",1.70,2,1,6,2,16.39,1
86.58,SNE,Sony Corp Ord,1.00,1,2,6,3,21.25,1
86.51,UCBI,"United Community Banks, Inc.",2.00,1,2,1.0,5,20.72,1
86.47,GOOG,Alphabet Inc.,1.80,1,1,1.5,7,21.31,1
86.46,TTEK,"Tetra Tech, Inc.",2.30,1,2,1.5,2,12.92,1
86.45,SNP,China Petroleum & Chemical Corporation,1.00,1,2,6,5,33.91,1
86.37,AME,"AMTEK, Inc.",1.60,2,1,6,1,6.87,1
86.22,MPC,Marathon Petroleum Corporation,2.10,1,2,6,3,19.45,1
86.2,BAM,Brookfield Asset Management Inc,1.90,1,1,6,7,21.02,1
86.16,STL,Sterling Bancorp,1.80,2,1,6,5,32.45,1
86.13,BLDR,"Builders FirstSource, Inc.",1.80,2,1,1.0,7,31.78,1
86.11,MOMO,Momo Inc.,1.80,3,1,1.0,6,51.63,1
86.07,LHCG,LHC Group,1.60,3,1,1.0,3,29.77,1
86.04,SEIC,SEI Investments Company,2.00,2,2,1.0,1,16.25,1
86.02,PKX,POSCO,1.50,2,1,6,5,31.79,1
85.98,APO,"Apollo Global Management, LLC",1.90,1,2,6,4,24.88,1
85.84,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",1.60,3,1,1.0,5,41.73,1
85.71,AFG,"American Financial Group, Inc.",2.00,1,2,6,2,10.2,1
85.67,ALEX,"Alexander & Baldwin Holdings, Inc.",2.00,1,2,6,8,59.84,1
85.67,TPC,Tutor Perini Corporation,1.90,2,1,6,8,65.14,1
85.64,MTG,MGIC Investment Corporation,1.60,2,1,6,5,29.87,1
85.61,HUN,Huntsman Corporation,1.80,2,1,6,5,29.74,1
85.39,LTXB,"LegacyTexas Financial Group, Inc.",2.20,1,2,2.0,2,18.99,1
85.37,BECN,"Beacon Roofing Supply, Inc.",1.90,2,2,1.0,2,18.9,1
85.32,MPWR,"Monolithic Power Systems, Inc.",2.00,3,1,1.0,3,25.28,1
85.29,EEFT,"Euronet Worldwide, Inc.",2.00,3,1,1.0,5,38.4,1
85.27,IBTX,"Independent Bank Group, Inc",2.00,3,1,1.0,2,18.3,1
85.25,SSNC,"SS&C Technologies Holdings, Inc.",1.90,2,2,1.4000000000000004,1,21.49,1
85.18,SKM,"SK Telecom Co., Ltd.",1.50,1,2,6,5,27.59,1
85.15,STMP,Stamps.com Inc.,1.70,3,1,1.0,4,30.89,1
85.0,AERI,"Aerie Pharmaceuticals, Inc.",1.80,4,1,1.0,17,51.26,1
85.0,AMRN,Amarin Corporation plc,1.60,4,1,1.0,17,101.15,1
85.0,CMCSA,Comcast Corporation,1.80,3,1,1.2000000000000002,3,28.34,1
